seed,source_id,PDR,geocast_packets,flooding_packets,mr_nodes,mr_recvs
10095, 7, 1, 15, 78, 48, 48
10095, 330, 1, 28, 77, 41, 41
10095, 264, 1, 34, 70, 40, 40
10095, 8, 0.525, 20, 42, 40, 21
10095, 263, 0, 6, 0, 37, 0
10095, 160, 1, 13, 72, 36, 36
10095, 343, 1, 21, 71, 40, 40
10095, 270, 1, 21, 74, 42, 42
10095, 32, 1, 17, 76, 39, 39
10095, 379, 0, 5, 0, 44, 0
