
LSGO,PDR
200,300,400,seed
0.1,10001
0.1,10002
0.1,10003
0.2,10004
0.1,10005
0.1,10006
0.2,10007
0.1,10008
0.1,10009
0.2,10010
0.1,10011
0.4,10012
0.3,10013
0.5,10014
0.3,10015
0.2,10016
0.2,10017
0.2,10018
0.0,10019
0.1,10020
0.1,10021
0.1,10022
0.1,10023
0.1,10024
0.3,10025
0.2,10026
0.2,10027
0.7,10028
0.1,10029
0.1,10030
0.2,10031
0.0,10032
0.1,10033
0.0,10034
0.3,10035
0.0,10036
0.2,10037
0.5,10038
0.1,10039
0.3,10040
0.0,10041
0.2,10042
0.1,10043
0.2,10044
0.1,10045
0.3,10046
0.2,10047
0.2,10048
0.1,10049

LSGO,delay
200,300,400,seed
0.002494,10001
0.012331,10002
0.024031,10003
0.0172415,10004
0.022864,10005
0.023439,10006
0.026098,10007
0.016678,10008
0.006915,10009
0.018571,10010
0.004187,10011
0.01130975,10012
0.017633333333333334,10013
0.0151868,10014
0.021164666666666665,10015
0.0110895,10016
0.016730000000000002,10017
0.017447999999999998,10018
0,10019
0.015594,10020
0.018173,10021
0.011251,10022
0.020223,10023
0.022103,10024
0.013449999999999998,10025
0.0182095,10026
0.011347,10027
0.020594857142857144,10028
0.016468,10029
0.016329,10030
0.006824,10031
0,10032
0.02114,10033
0,10034
0.015823666666666666,10035
0,10036
0.016783,10037
0.018382,10038
0.011379,10039
0.021934333333333333,10040
0,10041
0.0110525,10042
0.008976,10043
0.018044499999999998,10044
0.002187,10045
0.021915333333333332,10046
0.017179,10047
0.015883500000000002,10048
0.007247,10049

LSGO,Overhead
200,300,400,seed
37.0,10001
33.0,10002
53.0,10003
19.0,10004
44.0,10005
33.0,10006
32.5,10007
36.0,10008
49.0,10009
20.5,10010
36.0,10011
12.0,10012
19.666666666666668,10013
14.6,10014
19.333333333333332,10015
17.5,10016
28.5,10017
24.0,10018
24,10019
40.0,10020
32.0,10021
39.0,10022
53.0,10023
63.0,10024
12.333333333333334,10025
25.5,10026
21.5,10027
12.0,10028
25.0,10029
29.0,10030
29.0,10031
66,10032
50.0,10033
70,10034
20.666666666666668,10035
45,10036
19.0,10037
13.0,10038
44.0,10039
19.333333333333332,10040
44,10041
25.0,10042
50.0,10043
36.5,10044
42.0,10045
21.0,10046
23.5,10047
23.5,10048
29.0,10049

LSGO,Hop
200,300,400,seed
5.0,10001
10.0,10002
13.0,10003
10.0,10004
10.0,10005
12.0,10006
12.75,10007
8.0,10008
9.0,10009
9.0,10010
9.0,10011
8.666666666666666,10012
10.714285714285714,10013
8.933333333333334,10014
10.4,10015
9.428571428571429,10016
10.0,10017
10.0,10018
0,10019
11.0,10020
11.0,10021
9.0,10022
11.0,10023
11.0,10024
9.533333333333333,10025
11.285714285714286,10026
9.0,10027
12.4,10028
10.0,10029
8.0,10030
7.235294117647059,10031
0,10032
12.0,10033
0,10034
11.0,10035
0,10036
10.666666666666666,10037
10.636363636363637,10038
10.0,10039
10.8,10040
0,10041
10.2,10042
12.0,10043
13.0,10044
6.0,10045
12.4,10046
9.0,10047
10.5,10048
6.0,10049

LSGO,PDR-average
200,300,400,seed
0.17755102040816326

LSGO,delay-average
200,300,400,seed
0.013957239601554906

LSGO,overhead-average
200,300,400,seed
32.15170068027211

LSGO,hop-average
200,300,400,seed
8.990821003726166
