SIGO,PDR,,
0.014588,0.0232176,0.032431667,10035
0.037153667,0.039596,0.044720125,10036
0.024305,0.03633825,0.031662,10037
0.028740667,0.039157333,0.039568,10038
0.0071915,0.0235045,0.041921167,10039
0.038242,0.0307365,0.042198143,10040
0.0419565,0.04707275,0.03264225,10041
0.024841667,0.031596,0.038088889,10042
0.0307855,0.035063333,0.031788857,10043
0.038291,0.029392333,0.046477571,10044
0.03492025,0.035373,0.042076375,10045
0.031456,0.0530095,0.0395775,10046
0.027769,0.03141575,0.0365682,10047
0.028051667,0.046257833,0.048361375,10048
0.060442,0.03646775,0.034649429,10049
,,,
SIGO,Overhead,,
200,300,400,seed
31.75,32,24,10001
33.66666667,55.33333333,26.25,10002
89,40.66666667,51.75,10003
85,53,39.85714286,10004
31,30.6,29.625,10005
42.5,47.75,32.71428571,10006
65.5,33.83333333,32.44444444,10007
86.5,37.66666667,32.5,10008
37.66666667,43.33333333,32.42857143,10009
41.66666667,30.83333333,26.85714286,10010
50,27.5,32.33333333,10011
38.66666667,29.33333333,31.875,10012
48,25.71428571,28.75,10013
59,48.8,40.66666667,10014
50,70.66666667,30.55555556,10015
124,22,31.28571429,10016
105,34.5,29.75,10017
32.75,61.66666667,23.33333333,10018
20.75,43,36.28571429,10019
72,34.6,32.625,10020
31.66666667,70.5,35.25,10021
125,35,39.14285714,10022
34,37.25,26.22222222,10023
47,44.33333333,45.83333333,10024
62,54.25,23.57142857,10025
58.66666667,29.5,45.6,10026
33.33333333,69.66666667,33,10027
37.25,59.5,32.125,10028
49.5,31.4,35.875,10029
58,60,39.375,10030
59,33.4,37.625,10031
45,30.8,28.33333333,10032
88,34.75,24.2,10033
61,60,47.16666667,10034
51.5,35,27.25,10035
32.33333333,40.25,30.75,10036
33,39.8,34.75,10037
75,32.6,31.6,10038
35.66666667,47.5,50.33333333,10039
72.5,34.6,29.33333333,10040
90,32.8,22.5,10041
35.66666667,47,26.25,10042
76.5,33.2,45.5,10043
56,30.2,34.28571429,10044
43,26,32,10045
52,52.33333333,30.28571429,10046
50,44.75,31.57142857,10047
53.5,66,27.66666667,10048
61.33333333,42,26.625,10049
,,,
LSGO,Overhead,,
200,300,400,seed
43.33333333,58.33333333,30.71428571,10001
79,44,27.85714286,10002
42,34,51.16666667,10003
51.33333333,67.66666667,39.6,10004
54,91,28.125,10005
31.5,39.5,27.71428571,10006
61,29.83333333,31,10007
142,29.5,28.5,10008
39,34.4,27.55555556,10009
49,29.16666667,28.16666667,10010
72.5,39.5,27.83333333,10011
47.33333333,41.25,40.66666667,10012
47,28.6,27,10013
77.5,37.25,37,10014
144,58.66666667,35.11111111,10015
132,49.66666667,28.85714286,10016
104,50,29.83333333,10017
85,75.5,31.28571429,10018
96,55.5,31.375,10019
55,36.25,48,10020
45.5,64,35.25,10021
104,41.25,39.42857143,10022
42,39,25.11111111,10023
42.66666667,39.4,54.83333333,10024
31,53.66666667,24.5,10025
33.25,38,50.5,10026
27.25,38.2,38.875,10027
59.5,76.66666667,28.3,10028
44,30.2,35.6,10029
86.5,139,32.28571429,10030
137,64.33333333,26.16666667,10031
47.33333333,43.5,58,10032
56,36.33333333,28.42857143,10033
71,57.66666667,45.6,10034
30.5,28.2,31,10035
34,31.8,30.5,10036
86,43.5,29.8,10037
29,66.66666667,32.28571429,10038
43,37.25,65.33333333,10039
51.5,45.5,29.28571429,10040
42.5,43,32.625,10041
32.33333333,51.25,24.44444444,10042
64,48.33333333,27.14285714,10043
113,27.16666667,29.14285714,10044
27.75,31.4,28.375,10045
48,64,23.375,10046
113,48,48,10047
46,28.33333333,35.875,10048
152,41.25,29.71428571,10049
,,,
SIGO,Hop,,
200,300,400,seed
13.75,15.2,12.14285714,10001
13.66666667,11,13.25,10002
11,13.66666667,15.25,10003
15,14,13.71428571,10004
12.5,14.6,13.625,10005
11.5,14.75,15.42857143,10006
14,15.66666667,14.11111111,10007
14,12.33333333,13.83333333,10008
13,13.66666667,13.14285714,10009
12.66666667,13.5,13.57142857,10010
14.33333333,12,13,10011
13.33333333,13,13.5,10012
15.66666667,13.85714286,13.125,10013
12,14.8,13.16666667,10014
16,16.33333333,15.11111111,10015
0,13.28571429,13.71428571,10016
12,15,12.75,10017
14.25,15,13,10018
11.5,13,15.14285714,10019
14,15,14,10020
12.66666667,12.5,13.5,10021
12,15.4,14.42857143,10022
12.66666667,16.75,13.44444444,10023
12,14,15.5,10024
14.5,13.75,13.14285714,10025
15,11.75,14.8,10026
15.33333333,12,14.14285714,10027
12,15.5,14.625,10028
14,12.2,14.875,10029
14.5,12,13.75,10030
14,13.6,13.75,10031
13.33333333,13,14.83333333,10032
12.5,14.25,13.5,10033
12.5,15.25,15.16666667,10034
14.5,14,14.625,10035
15,13.75,14.5,10036
11.66666667,14.8,13.5,10037
14,12.6,13.2,10038
13.33333333,14.5,16.16666667,10039
13,14.2,14,10040
14,13.8,13.375,10041
12.66666667,13.75,14,10042
13.5,14.2,14.66666667,10043
14.5,14.6,14.42857143,10044
15,14,12.83333333,10045
13,14.33333333,13.85714286,10046
14.5,13.75,13.42857143,10047
13.5,13.66666667,14.88888889,10048
13,12.75,12.875,10049
,,,
LSGO,Hop,,
200,300,400,seed
14.6,14.18181818,13.75609756,10001
