seed,source_id,PDR,geocast_packets,flooding_packets,mr_nodes,mr_recvs
10002, 29, 0, 1, 0, 48, 0
10002, 7, 1, 1, 76, 47, 47
10002, 23, 0.512195, 1, 38, 41, 21
10002, 17, 0, 1, 0, 40, 0
10002, 235, 0.512821, 1, 36, 39, 20
10002, 263, 0, 1, 0, 35, 0
10002, 216, 1, 1, 72, 40, 40
10002, 123, 0, 1, 0, 42, 0
10002, 27, 1, 1, 79, 39, 39
10002, 132, 1, 1, 84, 42, 42
