SIGO,PDR,,,,,,,,,,,,,,,,,,,,
0.4,0.4,0.9,10045,,,,,,,,,,,,,,,,,,
0.4,0.5,0.9,10046,,,,,,,,,,,,,,,,,,
0.2,0.4,0.8,10047,,,,,,,,,,,,,,,,,,
0.3,0.6,0.9,10048,,,,,,,,,,,,,,,,,,
0.1,0.4,1,10049,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SIGO,delay,,,,,,,,,,,,,,,,,,,,
200,300,400,seed,,,,,,,,,,,,,,,,,,
0.0351788,0.041016143,0.038107,10001,,,,,,,,,,,,,,,,,,
0.020814,0.0309908,0.0303985,10002,,,,,,,,,,,,,,,,,,
0.034701,0.039806167,0.044255333,10003,,,,,,,,,,,,,,,,,,
0.046671667,0.02562275,0.039412,10004,,,,,,,,,,,,,,,,,,
0.031608,0.022516333,0.033209,10005,,,,,,,,,,,,,,,,,,
0.03762325,0.0382338,0.040362375,10006,,,,,,,,,,,,,,,,,,
0.0306325,0.026052167,0.035871667,10007,,,,,,,,,,,,,,,,,,
0.0576905,0.028397857,0.043769875,10008,,,,,,,,,,,,,,,,,,
0.035645667,0.032553167,0.032826625,10009,,,,,,,,,,,,,,,,,,
0.036499,0.019305143,0.033757,10010,,,,,,,,,,,,,,,,,,
0.045008667,0.027941,0.038649,10011,,,,,,,,,,,,,,,,,,
0.044639,0.035587375,0.033639,10012,,,,,,,,,,,,,,,,,,
0.038553667,0.033416833,0.0318305,10013,,,,,,,,,,,,,,,,,,
0.03318,0.0257442,0.031530375,10014,,,,,,,,,,,,,,,,,,
0.033885,0.025050833,0.036158111,10015,,,,,,,,,,,,,,,,,,
0.049738,0.033673,0.047581857,10016,,,,,,,,,,,,,,,,,,
0.039741333,0.0236516,0.0329369,10017,,,,,,,,,,,,,,,,,,
0.027791,0.0391235,0.035574111,10018,,,,,,,,,,,,,,,,,,
0.02204675,0.036995,0.050831,10019,,,,,,,,,,,,,,,,,,
0.020313,0.02214425,0.0366406,10020,,,,,,,,,,,,,,,,,,
0.022175,0.038379,0.040192556,10021,,,,,,,,,,,,,,,,,,
0.0186735,0.043723625,0.040212778,10022,,,,,,,,,,,,,,,,,,
0.048156667,0.024890167,0.040764444,10023,,,,,,,,,,,,,,,,,,
0.032714,0.0370755,0.033832429,10024,,,,,,,,,,,,,,,,,,
0.0301395,0.02277125,0.038165875,10025,,,,,,,,,,,,,,,,,,
0.024279,0.022974167,0.036577286,10026,,,,,,,,,,,,,,,,,,
0.025020333,0.0241832,0.029815889,10027,,,,,,,,,,,,,,,,,,
0.036023667,0.032824333,0.0390672,10028,,,,,,,,,,,,,,,,,,
0.040116667,0.029128833,0.036793333,10029,,,,,,,,,,,,,,,,,,
0.031729,0.027310833,0.0298805,10030,,,,,,,,,,,,,,,,,,
0.053244,0.0245655,0.027639714,10031,,,,,,,,,,,,,,,,,,
0.034302667,0.029957429,0.0348875,10032,,,,,,,,,,,,,,,,,,
0.030543,0.0303668,0.04404975,10033,,,,,,,,,,,,,,,,,,
0.038984,0.027104375,0.032308375,10034,,,,,,,,,,,,,,,,,,
0.016397,0.0288526,0.0354925,10035,,,,,,,,,,,,,,,,,,
0.05048875,0.0313436,0.0503024,10036,,,,,,,,,,,,,,,,,,
0.039262,0.030196333,0.036025857,10037,,,,,,,,,,,,,,,,,,
0.035079,0.026933167,0.040427,10038,,,,,,,,,,,,,,,,,,
0.03869175,0.026449714,0.031968429,10039,,,,,,,,,,,,,,,,,,
0.03924225,0.038109714,0.046578833,10040,,,,,,,,,,,,,,,,,,
0.047620333,0.0296644,0.037735556,10041,,,,,,,,,,,,,,,,,,
0.027175,0.042004143,0.038104667,10042,,,,,,,,,,,,,,,,,,
0.040785,0.029323,0.036101143,10043,,,,,,,,,,,,,,,,,,
0.0485155,0.029473,0.0325045,10044,,,,,,,,,,,,,,,,,,
0.013998667,0.032727167,0.039025889,10045,,,,,,,,,,,,,,,,,,
0.0277048,0.037257,0.039180333,10046,,,,,,,,,,,,,,,,,,
0.039983667,0.0325914,0.031893857,10047,,,,,,,,,,,,,,,,,,
0.034813333,0.0371458,0.035395,10048,,,,,,,,,,,,,,,,,,
0.029793,0.029519333,0.038758667,10049,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
LSGO,delay,,,,,,,,,,,,,,,,,,,,
200,300,400,seed,,,,,,,,,,,,,,,,,,
0.037437,0.040711714,0.033856875,10001,,,,,,,,,,,,,,,,,,
0.017295,0.03469275,0.031077714,10002,,,,,,,,,,,,,,,,,,
0.038032,0.031136833,0.029957222,10003,,,,,,,,,,,,,,,,,,
0.026734667,0.0313184,0.034126857,10004,,,,,,,,,,,,,,,,,,
0.034380667,0.030622333,0.025216143,10005,,,,,,,,,,,,,,,,,,
0.04011625,0.0359692,0.032486143,10006,,,,,,,,,,,,,,,,,,
0.046942667,0.027297429,0.035533125,10007,,,,,,,,,,,,,,,,,,
0.027352,0.0282816,0.034021,10008,,,,,,,,,,,,,,,,,,
0.0377365,0.0337345,0.0326445,10009,,,,,,,,,,,,,,,,,,
0.0300175,0.032653833,0.031580857,10010,,,,,,,,,,,,,,,,,,
0.0422805,0.031893143,0.034178857,10011,,,,,,,,,,,,,,,,,,
0.0218845,0.017923,0.0410065,10012,,,,,,,,,,,,,,,,,,
0.0313235,0.02063375,0.028412778,10013,,,,,,,,,,,,,,,,,,
0.032582,0.0344618,0.0406604,10014,,,,,,,,,,,,,,,,,,
0.031562667,0.014112,0.0366935,10015,,,,,,,,,,,,,,,,,,
0.041297,0.029972333,0.027448167,10016,,,,,,,,,,,,,,,,,,
