SIGO,PDR,,,,,,,,,,,,,,,,,,,,
14.15789474,11.73913043,11.18518519,10038,,,,,,,,,,,,,,,,,,
12.14285714,11.68085106,13.16666667,10039,,,,,,,,,,,,,,,,,,
14.42857143,12.80952381,13.11666667,10040,,,,,,,,,,,,,,,,,,
12.875,10.06666667,13.125,10041,,,,,,,,,,,,,,,,,,
12.33333333,12.85714286,13.33333333,10042,,,,,,,,,,,,,,,,,,
15.15384615,11.46666667,12.925,10043,,,,,,,,,,,,,,,,,,
15,12.2173913,13.02631579,10044,,,,,,,,,,,,,,,,,,
12.87096774,14,13.26923077,10045,,,,,,,,,,,,,,,,,,
11.51724138,12,12.31914894,10046,,,,,,,,,,,,,,,,,,
15.875,11.68181818,12.07692308,10047,,,,,,,,,,,,,,,,,,
13.5,11.52173913,12.08163265,10048,,,,,,,,,,,,,,,,,,
14,9,12.86538462,10049,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SIGOÅ™LSGOÅ´,PDR-average,,,,,,Éø0.5,,,Éø0.75,,,Éø1.0,,,,,,Éø1.5,,
200,300,400,seed,,,,SIGO,PDR-average,,SIGO,PDR-average,,SIGO,PDR-average,,,,,SIGO,PDR-average,
0.267346939,0.587755102,0.812244898,,,,,200,300,400,200,300,400,200,300,400,,,,200,300,400
0.255102041,0.528571429,0.757142857,,,,,0.285714286,0.493877551,0.763265306,0.273469388,0.508163265,0.736734694,0.267346939,0.587755102,0.812244898,,,,0.26122449,0.524489796,0.77755102
,,,,,,,,,,,,,,,,,,,,,
SIGOÅ™LSGOÅ´,delay-average,,,,,,SIGO,delay-average,,SIGO,delay-average,,SIGO,delay-average,,,,,SIGO,delay-average,
200,300,400,seed,,,,200,300,400,200,300,400,200,300,400,,,,200,300,400
0.035053303,0.030707496,0.037163736,,,,,0.033728707,0.035487049,0.039858996,0.034528249,0.036096943,0.040315003,0.035053303,0.030707496,0.037163736,,,,0.033707581,0.037574734,0.041123812
0.033529956,0.03066136,0.034046123,,,,,,,,,,,,,,,,,,,
,,,,,,,SIGO,overhead-average,,SIGO,overhead-average,,SIGO,overhead-average,,,,,SIGO,overhead-average,
SIGOÅ™LSGOÅ´,overhead-average,,,,,,200,300,400,200,300,400,200,300,400,,,,200,300,400
200,300,400,seed,,,,49.3792517,41.59358601,33.87486233,50.08571429,40.26280369,34.05655167,57.41190476,27.99016035,26.10354713,,,,60.92482993,39.80969388,32.62112893
57.41190476,27.99016035,26.10354713,,,,,,,,,,,,,,,,,,,
58.80102041,29.93894558,24.99780531,,,,,SIGO,hop-average,,SIGO,hop-average,,SIGO,hop-average,,,,,SIGO,hop-average,
,,,,,,,200,300,400,200,300,400,200,300,400,,,,200,300,400
SIGOÅ™LSGOÅ´,hop-average,,,,,,13.36462585,13.73000486,13.94267088,13.3585034,13.81882896,13.98867023,13.50408163,11.33318756,12.74271137,,,,13.0707483,14.03549563,14.03788468
200,300,400,seed,,,,,,,,,,,,,,,,,,
13.50408163,11.33318756,12.74271137,,,,,,,,,,,,,,,,,,,
13.19611509,11.78069606,12.73398777,,,,,,,,,,,,,,,,,,,
