
LSGO,PDR
200,300,400,seed
0.5,10001
0.7,10002
0.7,10003
0.6,10004
0.7,10005
0.5,10006
0.9,10007
0.6,10008
0.4,10009
0.6,10010
0.6,10011
0.7,10012
0.9,10013
0.8,10014
0.7,10015
0.7,10016
0.9,10017
0.8,10018
0.8,10019
0.9,10020
0.4,10021
0.5,10022
0.7,10023
0.8,10024
0.9,10025
0.9,10026
0.9,10027
0.8,10028
0.4,10029
0.6,10030
0.7,10031
0.8,10032
1.0,10033
0.9,10034
0.8,10035
0.7,10036
0.7,10037
0.9,10038
0.8,10039
0.9,10040
0.8,10041
0.9,10042
0.7,10043
0.6,10044
0.8,10045
0.6,10046
0.5,10047
0.8,10048
0.6,10049

LSGO,delay
200,300,400,seed
0.0355838,10001
0.02639,10002
0.03574042857142857,10003
0.03933733333333333,10004
0.019916857142857146,10005
0.024769199999999998,10006
0.022595444444444446,10007
0.02756966666666667,10008
0.0178255,10009
0.024386166666666667,10010
0.026392166666666664,10011
0.029194571428571427,10012
0.02436888888888889,10013
0.019436250000000002,10014
0.031721714285714284,10015
0.02435042857142857,10016
0.023107222222222223,10017
0.025750750000000003,10018
0.033792375,10019
0.03482433333333333,10020
0.03324725,10021
0.026707199999999997,10022
0.027048714285714287,10023
0.026874500000000003,10024
0.02555888888888889,10025
0.029913333333333333,10026
0.025052000000000005,10027
0.018973125,10028
0.032584,10029
0.03131066666666666,10030
0.03008871428571428,10031
0.037813625000000003,10032
0.0264139,10033
0.02734811111111111,10034
0.033348875,10035
0.036328571428571425,10036
0.023870571428571432,10037
0.03308755555555555,10038
0.036253125,10039
0.031408888888888896,10040
0.025029375,10041
0.032342333333333334,10042
0.03519671428571428,10043
0.03501766666666666,10044
0.033537125,10045
0.029708333333333337,10046
0.0250262,10047
0.03912225,10048
0.0297185,10049

LSGO,Overhead
200,300,400,seed
23.8,10001
17.0,10002
25.0,10003
23.333333333333332,10004
20.0,10005
23.2,10006
16.666666666666668,10007
20.833333333333332,10008
29.5,10009
23.833333333333332,10010
17.5,10011
18.571428571428573,10012
16.0,10013
14.25,10014
23.714285714285715,10015
17.571428571428573,10016
13.222222222222221,10017
17.125,10018
20.875,10019
14.88888888888889,10020
39.0,10021
35.6,10022
18.142857142857142,10023
15.375,10024
13.444444444444445,10025
16.77777777777778,10026
12.222222222222221,10027
14.0,10028
25.0,10029
22.0,10030
14.714285714285714,10031
15.75,10032
13.2,10033
13.333333333333334,10034
19.0,10035
22.285714285714285,10036
18.428571428571427,10037
17.333333333333332,10038
23.25,10039
16.333333333333332,10040
16.375,10041
14.666666666666666,10042
18.0,10043
27.5,10044
16.75,10045
22.0,10046
25.6,10047
13.625,10048
20.166666666666668,10049

LSGO,Hop
200,300,400,seed
10.5625,10001
10.291666666666666,10002
11.384615384615385,10003
13.344827586206897,10004
9.680851063829786,10005
11.565217391304348,10006
10.842105263157896,10007
9.392857142857142,10008
11.727272727272727,10009
10.444444444444445,10010
10.548387096774194,10011
9.744186046511627,10012
11.74468085106383,10013
9.179487179487179,10014
13.344827586206897,10015
10.38888888888889,10016
9.694444444444445,10017
11.117647058823529,10018
11.62962962962963,10019
9.864864864864865,10020
9.736842105263158,10021
12.31578947368421,10022
9.222222222222221,10023
10.657142857142857,10024
9.951219512195122,10025
10.78048780487805,10026
9.564102564102564,10027
12.241379310344827,10028
10.473684210526315,10029
10.179487179487179,10030
9.56,10031
11.733333333333333,10032
10.9375,10033
10.266666666666667,10034
12.666666666666666,10035
11.5,10036
9.692307692307692,10037
11.8125,10038
11.0,10039
11.846153846153847,10040
10.068965517241379,10041
11.169491525423728,10042
11.826086956521738,10043
13.022727272727273,10044
10.31578947368421,10045
12.333333333333334,10046
9.90625,10047
12.571428571428571,10048
11.074074074074074,10049

LSGO,PDR-average
200,300,400,seed
0.7224489795918367

LSGO,delay-average
200,300,400,seed
0.02908129001457726

LSGO,overhead-average
200,300,400,seed
19.525696469063817

LSGO,hop-average
200,300,400,seed
10.916714969111416
