SIGO,PDR,,,,,,,,,,,,,,,,,,,,
200,300,400,seed,,,,,,,,,,,,,,,,,,
0.1,0.4,1,10049,,,,,,0.1,0.4,1,1,4,10,,0.4,0.5,0.9,4,5,9
0.304081633,,,,,,,,,,,,149,273,386,,,,,150,254,388
LSGO,PDR,,,,,,,,,,,0.298,0.546,0.772,,,,,0.3,0.508,0.776
200,300,400,seed,,,,,,,,,,,,,,,,,,
0.3,0.5,0.6,10001,,,,,,,,,,,,,,,,,,
0.3,0.4,0.7,10002,,,,,,,,,,,,,,,,,,
0.3,0.4,0.6,10003,,,,,,,,,,,,,,,,,,
0.4,0.5,0.8,10004,,,,,,,,,,,,,,,,,,
0.3,0.6,0.8,10005,,,,,,,,,,,,,,,,,,
0.2,0.6,0.8,10006,,,,,,,,,,,,,,,,,,
0.4,0.5,0.7,10007,,,,,,,,,,,,,,,,,,
0.5,0.5,0.7,10008,,,,,,,,,,,,,,,,,,
0.4,0.4,0.7,10009,,,,,,,,,,,,,,,,,,
0.2,0.7,0.8,10010,,,,,,,,,,,,,,,,,,
0.4,0.7,0.7,10011,,,,,,,,,,,,,,,,,,
0.5,0.6,0.9,10012,,,,,,,,,,,,,,,,,,
0.2,0.6,1,10013,,,,,,,,,,,,,,,,,,
0.3,0.6,0.8,10014,,,,,,,,,,,,,,,,,,
0.3,0.4,0.9,10015,,,,,,,,,,,,,,,,,,
0.4,0.4,0.7,10016,,,,,,,,,,,,,,,,,,
0.2,0.3,1,10017,,,,,,,,,,,,,,,,,,
0.3,0.3,0.9,10018,,,,,,,,,,,,,,,,,,
0.2,0.5,0.8,10019,,,,,,,,,,,,,,,,,,
0.4,0.4,0.8,10020,,,,,,,,,,,,,,,,,,
0.2,0.6,0.5,10021,,,,,,,,,,,,,,,,,,
0.3,0.7,0.8,10022,,,,,,,,,,,,,,,,,,
0.3,0.8,0.6,10023,,,,,,,,,,,,,,,,,,
0.2,0.4,0.8,10024,,,,,,,,,,,,,,,,,,
0.2,0.5,0.8,10025,,,,,,,,,,,,,,,,,,
0.5,0.4,0.9,10026,,,,,,,,,,,,,,,,,,
0.3,0.6,1,10027,,,,,,,,,,,,,,,,,,
0.4,0.6,0.9,10028,,,,,,,,,,,,,,,,,,
0.4,0.5,0.5,10029,,,,,,,,,,,,,,,,,,
0.5,0.6,0.7,10030,,,,,,,,,,,,,,,,,,
0.3,0.6,0.8,10031,,,,,,,,,,,,,,,,,,
0.3,0.3,0.8,10032,,,,,,,,,,,,,,,,,,
0.2,0.7,1,10033,,,,,,,,,,,,,,,,,,
0.3,0.4,0.9,10034,,,,,,,,,,,,,,,,,,
0.2,0.6,0.7,10035,,,,,,,,,,,,,,,,,,
0.2,0.3,0.9,10036,,,,,,,,,,,,,,,,,,
0.2,0.3,0.7,10037,,,,,,,,,,,,,,,,,,
0.4,0.7,0.7,10038,,,,,,,,,,,,,,,,,,
0.2,0.5,0.8,10039,,,,,,,,,,,,,,,,,,
0.2,0.7,0.8,10040,,,,,,,,,,,,,,,,,,
0.1,0.6,0.8,10041,,,,,,,,,,,,,,,,,,
0.2,0.5,0.9,10042,,,,,,,,,,,,,,,,,,
0.3,0.5,0.8,10043,,,,,,,,,,,,,,,,,,
0.3,0.4,0.9,10044,,,,,,,,,,,,,,,,,,
0.3,0.7,0.9,10045,,,,,,,,,,,,,,,,,,
0.4,0.3,0.8,10046,,,,,,,,,,,,,,,,,,
0.3,0.6,0.7,10047,,,,,,,,,,,,,,,,,,
0.4,0.6,0.8,10048,,,,,,,,,,,,,,,,,,
0.4,0.5,0.9,10049,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
SIGO,delay,,,,,,,,,,,,,,,,,,,,
200,300,400,seed,,,,,,,,,,,,,,,,,,
0.0377005,0.037357571,0.039999286,10001,,,,,,,,,,,,,,,,,,
0.028332,0.021825333,0.0301515,10002,,,,,,,,,,,,,,,,,,
0.014906,0.028424,0.038777125,10003,,,,,,,,,,,,,,,,,,
0.0259555,0.023368333,0.0274895,10004,,,,,,,,,,,,,,,,,,
0.02702425,0.023585,0.027344889,10005,,,,,,,,,,,,,,,,,,
0.033655667,0.030650833,0.025910429,10006,,,,,,,,,,,,,,,,,,
0.0287356,0.0299636,0.027375125,10007,,,,,,,,,,,,,,,,,,
0.03001775,0.031919143,0.0344158,10008,,,,,,,,,,,,,,,,,,
0.0361895,0.018308667,0.025643375,10009,,,,,,,,,,,,,,,,,,
0.018892,0.028653667,0.03055,10010,,,,,,,,,,,,,,,,,,
0.030741,0.0233196,0.031937333,10011,,,,,,,,,,,,,,,,,,
0.030168,0.030740167,0.020494,10012,,,,,,,,,,,,,,,,,,
0.022591333,0.0427714,0.029695778,10013,,,,,,,,,,,,,,,,,,
0.0302825,0.031516167,0.028810375,10014,,,,,,,,,,,,,,,,,,
0.03464,0.0367336,0.032001556,10015,,,,,,,,,,,,,,,,,,
0.017011333,0.0226375,0.032078625,10016,,,,,,,,,,,,,,,,,,
0.0287295,0.0253122,0.0326087,10017,,,,,,,,,,,,,,,,,,
0.0245075,0.04320475,0.027993286,10018,,,,,,,,,,,,,,,,,,
0.022554,0.01506225,0.033635571,10019,,,,,,,,,,,,,,,,,,
0.019473667,0.03186275,0.029331111,10020,,,,,,,,,,,,,,,,,,
0.0255555,0.032943,0.032765714,10021,,,,,,,,,,,,,,,,,,
0.04047,0.022309375,0.035129444,10022,,,,,,,,,,,,,,,,,,
0.028993667,0.027712143,0.0251955,10023,,,,,,,,,,,,,,,,,,
0.030409,0.038205167,0.024027125,10024,,,,,,,,,,,,,,,,,,
0.020771,0.028291833,0.0372625,10025,,,,,,,,,,,,,,,,,,
0.022209,0.0250854,0.0368395,10026,,,,,,,,,,,,,,,,,,
0.02628775,0.024362429,0.03502625,10027,,,,,,,,,,,,,,,,,,
0.02822475,0.029795143,0.028246667,10028,,,,,,,,,,,,,,,,,,
0.0274624,0.027032286,0.0336255,10029,,,,,,,,,,,,,,,,,,
0.032746833,0.031977333,0.026666429,10030,,,,,,,,,,,,,,,,,,
0.035243,0.031351571,0.023917857,10031,,,,,,,,,,,,,,,,,,
0.0249925,0.036068833,0.023481833,10032,,,,,,,,,,,,,,,,,,
0.0247668,0.0267404,0.029169778,10033,,,,,,,,,,,,,,,,,,
0.0294165,0.035522167,0.034255556,10034,,,,,,,,,,,,,,,,,,
0.021029667,0.02891875,0.027966875,10035,,,,,,,,,,,,,,,,,,
0.0306305,0.013762,0.039099375,10036,,,,,,,,,,,,,,,,,,
0.008392,0.02642475,0.02618525,10037,,,,,,,,,,,,,,,,,,
0.009376,0.032334667,0.0340635,10038,,,,,,,,,,,,,,,,,,
0.0166915,0.026653,0.024163714,10039,,,,,,,,,,,,,,,,,,
0.0228748,0.0368616,0.028820556,10040,,,,,,,,,,,,,,,,,,
0.03483925,0.032534,0.02765325,10041,,,,,,,,,,,,,,,,,,
0,0.0275502,0.033177111,10042,,,,,,,,,,,,,,,,,,
0.023190667,0.0241845,0.03947575,10043,,,,,,,,,,,,,,,,,,
0.022126333,0.023334,0.035214889,10044,,,,,,,,,,,,,,,,,,
0.026373,0.034025286,0.025415111,10045,,,,,,,,,,,,,,,,,,
0.012039,0.020194,0.035494857,10046,,,,,,,,,,,,,,,,,,
