source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id
215, 181, 201, 10299999, 1, 23, 27, 153, 126, 226, 0.969551, 1, 1, 0.971281, 1, 97, 1
226, 201, 218, 10300200, 2, 174, 23, 27, 126, 13, 0.84559, 1, 0.971196, 1, 0.64624, 97, 0
126, 201, 244, 10300200, 2, 265, 259, 174, 13, 23, 1, 0.967598, 1, 0.797069, 0.96953, 97, 0
153, 241, 198, 10300200, 2, 71, 27, 218, 178, 264, 0.970857, 1, 0.688327, 0.687602, 0.550732, 97, 0
23, 201, 284, 10300200, 2, 174, 265, 186, 13, 259, 0.956778, 0.702813, 0.569046, 0.753947, 0.604749, 97, 1
27, 278, 198, 10300200, 2, 264, 178, 218, 71, 292, 0.826098, 0.86172, 0.798309, 0.755111, 0.568194, 97, 1
13, 198, 315, 10300458, 3, 65, 186, 254, 265, 259, 1, 1, 1, 1, 1, 97, 0
174, 198, 351, 10300458, 3, 65, 186, 254, 265, 251, 1, 1, 1, 1, 0.972907, 97, 1
259, 198, 387, 10300458, 3, 65, 45, 172, 186, 254, 1, 0.971847, 1, 1, 1, 97, 0
265, 201, 412, 10300458, 3, 65, 172, 186, 45, 254, 1, 1, 1, 0.863864, 1, 97, 0
265, 201, 412, 10300781, 4, 65, 172, 186, 45, 254, 1, 1, 1, 0.863834, 1, 97, 0
254, 201, 418, 10300781, 4, 65, 172, 186, 45, 191, 1, 1, 1, 0.863834, 0.323732, 97, 0
186, 201, 446, 10300781, 4, 65, 191, 10000000, 10000000, 10000000, 0.968197, 0.27485, 0, 0, 0, 97, 1
71, 323, 201, 10304400, 3, 88, 112, 221, 292, 268, 0.970713, 1, 1, 1, 1, 97, 0
178, 356, 201, 10304400, 3, 49, 88, 112, 41, 221, 1, 1, 1, 0.861353, 1, 97, 0
218, 380, 201, 10304400, 3, 41, 88, 112, 221, 49, 1, 1, 1, 1, 0.697194, 97, 0
264, 387, 201, 10304400, 3, 111, 41, 88, 112, 201, 1, 1, 1, 1, 0.538418, 97, 1
292, 412, 198, 10304400, 3, 41, 88, 112, 216, 116, 0.969022, 1, 1, 0.645681, 0.605156, 97, 0
112, 448, 198, 10304723, 4, 266, 49, 88, 41, 216, 1, 1, 1, 0.753658, 0.538049, 97, 0
41, 401, 287, 10304723, 4, 255, 256, 111, 201, 198, 1, 0.937403, 1, 0.753759, 0.611924, 97, 0
88, 495, 198, 10304724, 4, 102, 216, 116, 131, 266, 1, 0.939733, 0.97043, 0.637341, 0.602327, 97, 0
111, 398, 347, 10304724, 4, 104, 198, 255, 256, 201, 1, 1, 1, 1, 1, 97, 1
201, 398, 375, 10304724, 4, 104, 198, 255, 24, 160, 1, 1, 1, 0.859917, 0.753571, 97, 0
65, 201, 485, 10304981, 5, 191, 67, 10000000, 10000000, 10000000, 0.56788, 0.323836, 0, 0, 0, 97, 1
201, 398, 375, 10305021, 5, 104, 198, 255, 24, 160, 1, 1, 1, 0.859889, 0.753547, 97, 0
256, 398, 387, 10305021, 5, 104, 24, 198, 160, 255, 1, 0.967375, 1, 0.968846, 1, 97, 0
255, 401, 415, 10305021, 5, 104, 24, 198, 148, 160, 1, 0.967375, 1, 0.467527, 0.861197, 97, 0
198, 401, 431, 10305021, 5, 104, 79, 148, 10000000, 10000000, 1, 0.189071, 0.137232, 0, 0, 97, 0
104, 401, 467, 10305021, 5, 148, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 97, 1
148, 401, 637, 10305293, 6, 79, 108, 96, 31, 10000000, 0.967215, 0.551305, 0.646905, 0.24146, 0, 97, 1
79, 401, 680, 10305681, 7, 108, 31, 10000000, 10000000, 10000000, 0.968833, 0.234548, 0, 0, 0, 97, 1
108, 398, 729, 10305681, 7, 31, 288, 258, 204, 196, 0.971163, 1, 1, 0.860124, 0.723939, 97, 0
108, 398, 729, 10306017, 8, 31, 288, 258, 204, 196, 0.971127, 1, 1, 0.860093, 0.723909, 97, 1
31, 401, 882, 10306392, 9, 163, 52, 82, 10000000, 10000000, 0.843007, 0.96385, 0.645943, 0, 0, 97, 1
52, 398, 920, 10306755, 10, 282, 176, 208, 163, 42, 0.969591, 0.752492, 0.755397, 1, 0.539404, 97, 0
163, 398, 957, 10306755, 10, 208, 282, 176, 42, 10000000, 1, 1, 0.859991, 0.647284, 0, 97, 1
282, 412, 998, 10307195, 11, 230, 42, 176, 208, 297, 0.778668, 1, 1, 1, 0.361192, 97, 1
208, 420, 998, 10311395, 12, 42, 230, 176, 277, 297, 1, 0.610275, 1, 0.431584, 0.322914, 97, 0
176, 442, 998, 10311395, 12, 297, 42, 277, 134, 230, 1, 1, 0.431584, 0.275186, 0.232371, 97, 0
42, 488, 998, 10311395, 12, 297, 134, 80, 230, 277, 0.938566, 0.636951, 0.608255, 0.63539, 0.635415, 97, 0
230, 619, 998, 10311396, 12, 141, 80, 134, 36, 97, 0.954859, 1, 1, 0.604143, 0.137312, 97, 1
134, 642, 998, 10311719, 13, 141, 36, 80, 10000000, 10000000, 0.863496, 0.932544, 1, 0, 0, 97, 0
80, 684, 998, 10311719, 13, 36, 141, 97, 10000000, 10000000, 0.932544, 0.647622, 0.30625, 0, 0, 97, 0
36, 718, 1001, 10311719, 13, 97, 141, 74, 242, 146, 0.966669, 1, 0.647509, 0.302406, 0.107682, 97, 0
141, 753, 1001, 10311719, 13, 97, 74, 242, 1, 10000000, 1, 0.755427, 0.322186, 0, 0, 97, 1
1, 923, 1001, 10312043, 14, 97, 10000000, 10000000, 10000000, 10000000, 0.726103, 0, 0, 0, 0, 97, 0
116, 553, 201, 10312924, 5, 102, 131, 266, 216, 86, 0.971314, 1, 1, 1, 0.634084, 97, 0
216, 581, 201, 10312924, 5, 47, 187, 102, 131, 295, 0.794402, 0.60411, 0.971314, 1, 0.76279, 97, 0
266, 587, 201, 10312924, 5, 187, 102, 131, 47, 86, 0.866721, 1, 1, 0.481552, 0.549574, 97, 0
131, 648, 198, 10312924, 5, 214, 194, 99, 86, 102, 1, 0.846072, 0.764599, 0.724381, 1, 97, 0
131, 648, 198, 10317124, 6, 214, 194, 99, 86, 102, 1, 0.845643, 0.762152, 0.724014, 1, 97, 0
102, 677, 198, 10317124, 6, 274, 249, 86, 113, 194, 1, 0.843585, 0.961199, 0.698168, 0.724837, 97, 0
255, 401, 416, 10321221, 6, 104, 24, 198, 148, 160, 1, 0.965694, 1, 0.465763, 0.859698, 97, 0
198, 401, 431, 10321221, 6, 104, 79, 148, 10000000, 10000000, 1, 0.188494, 0.136928, 0, 0, 97, 0
104, 401, 467, 10321221, 6, 148, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 97, 0
176, 442, 998, 10323595, 13, 297, 42, 277, 134, 230, 1, 1, 0.431017, 0.274725, 0.231714, 97, 0
42, 489, 998, 10323595, 13, 297, 134, 80, 230, 277, 0.935887, 0.635716, 0.606006, 0.634161, 0.634186, 97, 0
230, 619, 998, 10323596, 13, 141, 80, 134, 36, 97, 0.953008, 1, 1, 0.603254, 0.137082, 97, 0
277, 612, 998, 10324023, 14, 80, 134, 36, 141, 230, 1, 1, 0.482578, 0.431176, 1, 97, 0
297, 612, 998, 10324023, 14, 80, 134, 141, 36, 230, 1, 1, 0.548675, 0.482578, 1, 97, 0
230, 619, 998, 10324023, 14, 141, 80, 134, 36, 97, 0.952944, 1, 1, 0.603223, 0.137074, 97, 0
134, 642, 998, 10324023, 14, 141, 36, 80, 10000000, 10000000, 0.862351, 0.929877, 1, 0, 0, 97, 0
230, 619, 998, 10324359, 15, 141, 80, 134, 36, 97, 0.952893, 1, 1, 0.603199, 0.137068, 97, 0
134, 642, 998, 10324359, 15, 141, 36, 80, 10000000, 10000000, 0.86232, 0.929804, 1, 0, 0, 97, 0
