source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id
330, 212, -1, 10299999, 1, 149, 7, 62, 123, 170, 0.862411, 1, 0.845513, 0.970229, 1, 333, 1
170, 248, -1, 10300200, 2, 62, 254, 373, 7, 158, 0.966278, 0.771122, 0.687437, 1, 0.411038, 333, 0
123, 201, 49, 10300200, 2, 368, 344, 98, 60, 199, 0.796134, 0.798676, 0.968351, 0.686311, 0.53951, 333, 1
7, 280, -1, 10300200, 2, 288, 156, 149, 254, 320, 1, 0.78497, 0.862393, 0.703265, 0.698659, 333, 0
62, 319, 1, 10300200, 2, 5, 156, 254, 373, 320, 0.968566, 1, 1, 1, 1, 333, 0
149, 354, 1, 10300200, 2, 5, 158, 156, 48, 373, 1, 1, 1, 0.862951, 1, 333, 1
373, 401, 12, 10300627, 3, 48, 158, 5, 325, 138, 0.970775, 1, 0.968522, 0.549532, 0.538937, 333, 0
158, 401, 41, 10300627, 3, 260, 378, 48, 325, 100, 0.753463, 0.702757, 0.970775, 0.647079, 0.7547, 333, 1
156, 447, -1, 10300627, 3, 5, 298, 338, 200, 61, 1, 0.53976, 0.538528, 0.549405, 0.602925, 333, 1
48, 401, 79, 10304827, 4, 378, 100, 260, 138, 118, 0.796284, 1, 0.753122, 0.75417, 0.538404, 333, 0
100, 398, 115, 10304827, 4, 118, 356, 314, 41, 378, 0.969127, 1, 1, 0.862595, 1, 333, 0
260, 398, 178, 10304828, 4, 335, 116, 41, 118, 117, 1, 0.932629, 1, 1, 0.969338, 333, 1
325, 398, 187, 10304828, 4, 351, 41, 300, 116, 118, 0.868918, 1, 0.787386, 0.794351, 1, 333, 0
378, 398, 187, 10304828, 4, 41, 118, 117, 88, 356, 1, 1, 1, 0.86015, 1, 333, 0
118, 401, 245, 10305125, 5, 300, 224, 116, 217, 41, 1, 0.938415, 0.956663, 0.776628, 1, 333, 0
41, 401, 287, 10305125, 5, 116, 104, 388, 224, 381, 1, 0.758948, 0.798975, 0.86356, 0.758845, 333, 1
5, 488, -1, 10308827, 4, 200, 220, 61, 298, 291, 0.960377, 0.823424, 0.947995, 0.725883, 0.638028, 333, 1
61, 515, 1, 10308828, 4, 105, 291, 220, 338, 155, 1, 1, 1, 1, 0.84524, 333, 0
298, 580, 1, 10308828, 4, 91, 155, 105, 12, 291, 1, 1, 1, 0.637689, 1, 333, 0
338, 587, 1, 10308828, 4, 183, 91, 155, 105, 291, 1, 1, 1, 1, 1, 333, 0
61, 515, 1, 10309086, 5, 105, 291, 220, 338, 155, 1, 1, 1, 1, 0.845214, 333, 0
200, 561, 1, 10309086, 5, 155, 91, 291, 105, 220, 1, 0.86228, 1, 0.971045, 1, 333, 1
298, 580, 1, 10309086, 5, 91, 155, 105, 12, 291, 1, 1, 1, 0.637662, 1, 333, 0
291, 601, 19, 10309344, 6, 91, 183, 12, 155, 285, 1, 0.644796, 0.68672, 1, 0.275458, 333, 0
155, 601, 44, 10309344, 6, 91, 183, 12, 285, 10000000, 1, 0.724495, 0.753145, 0.430778, 0, 333, 1
220, 634, -1, 10309344, 6, 225, 155, 315, 105, 91, 0.880868, 0.965928, 0.754534, 0.971018, 0.754474, 333, 0
105, 674, -1, 10309344, 6, 225, 46, 315, 125, 382, 0.938826, 0.971816, 0.755932, 0.703481, 0.604451, 333, 1
91, 601, 84, 10309667, 7, 183, 285, 12, 114, 10000000, 0.955287, 0.757635, 0.842892, 0.275333, 0, 333, 1
12, 598, 111, 10309667, 7, 114, 285, 312, 380, 239, 0.971352, 1, 0.860576, 0.859607, 0.859505, 333, 0
183, 598, 147, 10309667, 7, 114, 287, 380, 312, 239, 0.971352, 0.971035, 1, 1, 0.966944, 333, 0
12, 598, 111, 10310042, 8, 114, 285, 312, 380, 239, 0.971313, 1, 0.860541, 0.859573, 0.859471, 333, 0
183, 598, 147, 10310042, 8, 114, 287, 380, 312, 239, 0.971313, 0.970995, 1, 1, 0.966905, 333, 1
285, 598, 179, 10310042, 8, 114, 206, 47, 137, 287, 1, 0.700874, 0.701436, 0.967307, 1, 333, 0
312, 587, 201, 10310339, 9, 347, 114, 102, 137, 287, 1, 1, 1, 1, 0.970964, 333, 0
380, 587, 201, 10310339, 9, 114, 102, 137, 47, 206, 1, 1, 1, 0.647051, 0.57013, 333, 0
114, 601, 262, 10310340, 9, 179, 21, 286, 347, 47, 0.88002, 0.789621, 0.604005, 0.548142, 0.68622, 333, 1
