source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id
263, 198, 179, 10299999, 1, 23, 132, 249, 27, 368, 0.972282, 1, 1, 0.864596, 1, 301, 1
368, 201, 212, 10300200, 2, 399, 23, 13, 132, 386, 0.845086, 0.972261, 0.823039, 1, 0.646597, 301, 0
249, 201, 218, 10300200, 2, 13, 23, 132, 193, 366, 0.945913, 0.972261, 1, 0.648638, 0.60325, 301, 0
132, 201, 244, 10300200, 2, 23, 366, 13, 229, 305, 1, 0.646491, 0.756731, 0.566732, 0.549669, 301, 0
23, 201, 284, 10300200, 2, 193, 305, 386, 311, 366, 0.972957, 0.86046, 0.846337, 0.794807, 0.75424, 301, 1
193, 198, 351, 10300510, 3, 65, 205, 274, 299, 363, 1, 1, 1, 1, 1, 301, 1
305, 198, 387, 10300510, 3, 65, 188, 45, 205, 274, 1, 1, 0.863565, 1, 1, 301, 0
366, 198, 387, 10300510, 3, 65, 188, 45, 205, 274, 1, 1, 0.863565, 1, 1, 301, 0
311, 201, 412, 10300510, 3, 65, 188, 45, 205, 274, 1, 1, 0.863565, 1, 1, 301, 0
363, 201, 412, 10300898, 4, 276, 65, 188, 205, 222, 1, 1, 1, 1, 0.646564, 301, 0
299, 201, 418, 10300898, 4, 113, 65, 188, 205, 45, 0.886137, 1, 1, 1, 0.755587, 301, 0
205, 201, 446, 10300898, 4, 65, 222, 113, 210, 276, 1, 0.754324, 0.794208, 0.303349, 0.242299, 301, 0
65, 201, 485, 10300899, 4, 222, 113, 210, 67, 276, 0.953433, 0.844867, 0.379308, 0.324289, 0.275419, 301, 1
113, 198, 532, 10301209, 5, 67, 210, 276, 222, 107, 0.972834, 0.968745, 1, 1, 0.645148, 301, 0
222, 198, 564, 10301209, 5, 67, 210, 276, 107, 10, 0.972834, 1, 1, 0.752673, 0.550574, 301, 1
276, 201, 618, 10301209, 5, 107, 10, 67, 210, 295, 0.967723, 0.955722, 0.972834, 1, 0.413693, 301, 0
210, 201, 645, 10301209, 5, 324, 107, 67, 10, 295, 1, 0.860198, 1, 0.60457, 0.484012, 301, 0
276, 201, 618, 10301610, 6, 107, 10, 67, 210, 295, 0.967681, 0.955661, 0.972792, 1, 0.41367, 301, 0
210, 201, 645, 10301610, 6, 324, 107, 67, 10, 295, 1, 0.860161, 1, 0.60454, 0.483988, 301, 0
67, 201, 691, 10301610, 6, 295, 324, 190, 178, 246, 0.96523, 0.823338, 0.702581, 0.688075, 0.549998, 301, 1
178, 198, 757, 10302037, 7, 136, 271, 3, 324, 246, 0.861062, 0.969266, 0.645922, 1, 1, 301, 0
295, 198, 780, 10302038, 7, 136, 271, 3, 324, 246, 0.968695, 1, 0.753575, 1, 1, 301, 1
324, 201, 812, 10302038, 7, 3, 136, 271, 10000000, 10000000, 0.968883, 1, 1, 0, 0, 301, 0
246, 201, 819, 10302038, 7, 136, 271, 3, 10000000, 10000000, 1, 1, 0.753575, 0, 0, 301, 0
271, 220, 798, 10302465, 8, 352, 3, 227, 95, 136, 0.913533, 0.968838, 0.68941, 0.726006, 1, 301, 1
324, 201, 812, 10302465, 8, 3, 136, 271, 10000000, 10000000, 0.968838, 1, 1, 0, 0, 301, 0
246, 201, 819, 10302465, 8, 136, 271, 3, 10000000, 10000000, 1, 1, 0.753541, 0, 0, 301, 0
136, 247, 798, 10306665, 9, 227, 304, 215, 95, 3, 0.702115, 0.685456, 0.685734, 0.756054, 0.9684, 301, 0
3, 275, 798, 10306665, 9, 352, 304, 227, 215, 95, 0.755522, 0.725775, 0.726361, 0.754935, 0.846576, 301, 0
95, 318, 801, 10306665, 9, 82, 181, 292, 352, 304, 1, 1, 1, 1, 1, 301, 0
352, 387, 801, 10306665, 9, 33, 360, 141, 82, 181, 1, 0.882631, 0.873904, 1, 1, 301, 1
181, 444, 798, 10306975, 10, 240, 387, 358, 257, 33, 1, 0.826011, 0.755744, 0.75218, 0.861065, 301, 0
82, 484, 798, 10306975, 10, 317, 358, 384, 33, 240, 0.951541, 0.823633, 0.754404, 0.954971, 0.688172, 301, 0
33, 520, 801, 10306976, 10, 6, 194, 240, 337, 309, 1, 1, 1, 0.969974, 0.971356, 301, 1
337, 612, 798, 10307312, 11, 6, 194, 301, 240, 133, 1, 1, 0.411262, 1, 0.323722, 301, 0
240, 618, 798, 10307312, 11, 223, 6, 194, 211, 301, 1, 1, 1, 0.464429, 0.362285, 301, 1
194, 646, 798, 10315512, 12, 6, 301, 223, 133, 211, 1, 0.361926, 0.362341, 0.31757, 0.231773, 301, 0
6, 685, 798, 10315512, 12, 301, 211, 223, 248, 133, 0.944776, 0.908036, 0.550433, 0.536943, 0.189146, 301, 1
3, 276, 798, 10322865, 10, 352, 304, 227, 215, 95, 0.754204, 0.724356, 0.724939, 0.753618, 0.844921, 301, 0
95, 318, 801, 10322865, 10, 82, 181, 292, 352, 304, 1, 1, 1, 1, 1, 301, 0
215, 354, 801, 10322865, 10, 82, 181, 292, 177, 304, 0.965412, 1, 1, 1, 1, 301, 0
304, 387, 801, 10322865, 10, 33, 82, 181, 292, 177, 0.931692, 1, 1, 1, 1, 301, 0
292, 401, 820, 10327065, 11, 181, 82, 10000000, 10000000, 10000000, 1, 0.844307, 0, 0, 0, 301, 0
177, 401, 843, 10327065, 11, 181, 82, 292, 10000000, 10000000, 0.859727, 0.723692, 1, 0, 0, 301, 0
181, 444, 798, 10327065, 11, 240, 387, 358, 257, 33, 1, 0.823733, 0.754108, 0.750559, 0.859207, 301, 0
82, 484, 798, 10327065, 11, 317, 358, 384, 33, 240, 0.948519, 0.821368, 0.752775, 0.951927, 0.686275, 301, 0
33, 519, 801, 10327066, 11, 6, 194, 240, 337, 309, 1, 1, 1, 0.967878, 0.969255, 301, 0
337, 612, 798, 10327506, 12, 6, 194, 301, 240, 133, 1, 1, 0.410127, 1, 0.323018, 301, 0
240, 618, 798, 10327506, 12, 223, 6, 194, 211, 301, 1, 1, 1, 0.462261, 0.361403, 301, 0
194, 646, 798, 10327506, 12, 6, 301, 223, 133, 211, 1, 0.361403, 0.361817, 0.316966, 0.231131, 301, 0
6, 685, 798, 10331706, 13, 301, 211, 223, 248, 133, 0.941894, 0.903607, 0.549209, 0.536011, 0.188569, 301, 0
223, 822, 798, 10331978, 14, 301, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 301, 0
181, 444, 798, 10339265, 12, 240, 387, 358, 257, 33, 1, 0.822355, 0.753118, 0.749579, 0.858082, 301, 0
33, 519, 801, 10339641, 13, 6, 194, 240, 337, 309, 1, 1, 1, 0.966571, 0.967944, 301, 0
257, 578, 801, 10339641, 13, 6, 194, 240, 337, 393, 1, 1, 1, 0.966571, 1, 301, 0
358, 587, 801, 10339641, 13, 6, 194, 240, 337, 393, 1, 1, 1, 1, 1, 301, 0
387, 587, 801, 10339641, 13, 194, 6, 240, 337, 393, 1, 0.861022, 1, 0.966571, 1, 301, 0
393, 598, 787, 10343841, 14, 6, 194, 240, 337, 133, 0.968212, 1, 1, 0.966135, 0.232251, 301, 0
337, 612, 798, 10343841, 14, 6, 194, 301, 240, 133, 1, 1, 0.409213, 1, 0.322451, 301, 0
240, 618, 798, 10343841, 14, 223, 6, 194, 211, 301, 1, 1, 1, 0.460523, 0.360694, 301, 0
194, 646, 798, 10343841, 14, 6, 301, 223, 133, 211, 1, 0.360694, 0.361106, 0.316147, 0.230261, 301, 0
6, 686, 798, 10343841, 14, 301, 211, 223, 248, 133, 0.939746, 0.900316, 0.548296, 0.535315, 0.188138, 301, 0
6, 686, 798, 10344164, 15, 301, 211, 223, 248, 133, 0.939689, 0.900229, 0.548271, 0.535296, 0.188127, 301, 0
