source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id
216, 45, 198, 10299999, 1, 17, 56, 129, 238, 313, 1, 1, 0.645488, 0.483823, 0.431406, 301, 1
56, 82, 198, 10300200, 2, 129, 368, 17, 313, 238, 0.9212, 0.61346, 0.826074, 0.548092, 0.483811, 301, 0
17, 112, 201, 10300200, 2, 27, 159, 249, 368, 313, 0.97265, 1, 1, 1, 1, 301, 1
129, 159, 201, 10300200, 2, 27, 132, 159, 71, 249, 0.97265, 1, 1, 0.776085, 1, 301, 0
313, 201, 212, 10300458, 3, 305, 23, 13, 132, 229, 0.934645, 0.972234, 0.82301, 1, 0.645668, 301, 0
368, 201, 212, 10300458, 3, 399, 23, 13, 132, 386, 0.84506, 0.972234, 0.82301, 1, 0.646579, 301, 0
159, 241, 198, 10300458, 3, 244, 71, 27, 197, 314, 0.872518, 0.848265, 0.972623, 0.567531, 0.467782, 301, 1
27, 278, 198, 10304658, 4, 310, 314, 197, 241, 117, 0.966216, 0.908016, 0.823188, 0.754161, 0.638689, 301, 0
71, 323, 201, 10304658, 4, 88, 117, 244, 356, 314, 1, 1, 1, 1, 1, 301, 0
314, 412, 198, 10304659, 4, 41, 49, 88, 312, 118, 1, 0.949228, 1, 0.824993, 0.969144, 301, 0
244, 418, 198, 10304659, 4, 312, 88, 380, 118, 41, 0.931895, 1, 0.822634, 0.969144, 0.86261, 301, 1
88, 495, 198, 10305008, 5, 102, 312, 380, 287, 49, 0.823227, 0.795128, 0.752533, 0.704608, 0.754242, 301, 0
312, 587, 201, 10305008, 5, 347, 114, 102, 137, 287, 1, 1, 1, 1, 0.971523, 301, 1
287, 620, 198, 10305448, 6, 319, 86, 114, 102, 137, 1, 0.963879, 0.863818, 1, 1, 301, 0
137, 647, 198, 10305449, 6, 237, 350, 345, 86, 102, 1, 0.794792, 0.759963, 0.755171, 1, 301, 0
114, 601, 262, 10305449, 6, 179, 21, 286, 347, 47, 0.881918, 0.792683, 0.604362, 0.548509, 0.686681, 301, 1
102, 677, 198, 10305449, 6, 86, 385, 213, 316, 237, 0.863052, 0.791421, 0.726569, 0.72306, 0.700728, 301, 1
47, 598, 315, 10309649, 7, 179, 286, 347, 21, 290, 1, 1, 1, 0.862135, 1, 301, 0
347, 601, 412, 10309649, 7, 21, 85, 179, 243, 332, 1, 0.758871, 1, 0.647592, 0.602512, 301, 0
286, 601, 419, 10309649, 7, 332, 21, 85, 179, 186, 0.868098, 0.969902, 0.753172, 1, 0.376994, 301, 0
179, 601, 445, 10309649, 7, 243, 21, 130, 332, 85, 1, 1, 0.753701, 0.602512, 0.645576, 301, 1
21, 601, 487, 10309907, 8, 332, 130, 243, 85, 4, 0.82214, 0.796581, 0.722906, 0.842546, 0, 301, 0
85, 598, 515, 10309907, 8, 4, 186, 332, 243, 273, 1, 1, 1, 1, 0.860275, 301, 0
130, 598, 552, 10309907, 8, 4, 186, 273, 19, 128, 1, 1, 0.967809, 0.75553, 0.863543, 301, 0
243, 598, 580, 10309908, 8, 19, 204, 4, 186, 128, 1, 0.919175, 0.966735, 1, 1, 301, 1
332, 598, 587, 10309908, 8, 4, 186, 128, 84, 273, 1, 1, 1, 0.863606, 0.967809, 301, 0
186, 601, 647, 10310166, 9, 309, 204, 4, 360, 19, 0.863131, 0.84538, 1, 0.754585, 0.794845, 301, 0
4, 601, 689, 10310166, 9, 360, 204, 309, 393, 112, 0.963165, 0.959524, 0.863131, 0.84439, 0.846035, 301, 0
19, 598, 711, 10310166, 9, 337, 240, 393, 360, 309, 0.96964, 0.862362, 1, 1, 1, 301, 1
309, 598, 787, 10310541, 10, 6, 194, 248, 240, 337, 1, 1, 0.569199, 1, 1, 301, 0
360, 598, 787, 10310541, 10, 6, 194, 240, 337, 10000000, 0.971693, 1, 1, 0.969601, 0, 301, 0
393, 598, 787, 10310541, 10, 6, 194, 240, 337, 133, 0.971693, 1, 1, 0.969601, 0.234061, 301, 1
86, 717, 201, 10313649, 7, 250, 319, 126, 58, 345, 1, 1, 0.860612, 0.646181, 1, 301, 1
213, 754, 201, 10313649, 7, 126, 58, 250, 319, 345, 1, 0.861575, 1, 1, 1, 301, 0
316, 812, 198, 10313649, 7, 126, 58, 250, 319, 345, 1, 0.861575, 1, 1, 1, 301, 0
385, 812, 198, 10313649, 7, 126, 58, 250, 319, 345, 1, 0.753878, 1, 1, 1, 301, 0
345, 787, 201, 10314076, 8, 58, 40, 187, 126, 250, 0.969227, 0.862586, 0.752543, 1, 1, 301, 0
319, 801, 212, 10314076, 8, 40, 58, 126, 187, 111, 0.94319, 0.969227, 1, 0.537531, 0.481956, 301, 1
126, 801, 246, 10318276, 9, 58, 40, 187, 10000000, 10000000, 0.968789, 0.797066, 0.550341, 0, 0, 301, 0
58, 801, 289, 10318276, 9, 111, 187, 40, 10000000, 10000000, 0.865868, 0.844619, 0.862195, 0, 0, 301, 0
