source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id
23, 201, 284, 10299999, 1, 174, 265, 186, 13, 259, 0.956808, 0.702847, 0.569068, 0.753963, 0.604764, 177, 1
13, 198, 315, 10300200, 2, 65, 186, 254, 265, 259, 1, 1, 1, 1, 1, 177, 0
174, 198, 351, 10300200, 2, 65, 186, 254, 251, 265, 1, 1, 1, 0.972934, 1, 177, 1
259, 198, 387, 10300200, 2, 45, 172, 65, 186, 251, 0.971874, 1, 1, 1, 1, 177, 0
265, 201, 412, 10300200, 2, 172, 65, 45, 186, 251, 1, 1, 0.863888, 1, 1, 177, 0
265, 201, 412, 10300523, 3, 172, 65, 45, 186, 251, 1, 1, 0.863858, 1, 1, 177, 0
254, 201, 418, 10300523, 3, 172, 65, 45, 186, 251, 1, 1, 0.863858, 1, 0.9729, 177, 0
186, 201, 446, 10300523, 3, 65, 45, 191, 10000000, 10000000, 0.968224, 0.755876, 0.27486, 0, 0, 177, 0
65, 201, 485, 10300523, 3, 191, 67, 10000000, 10000000, 10000000, 0.56836, 0.323992, 0, 0, 0, 177, 1
67, 201, 690, 10300912, 4, 279, 223, 107, 173, 55, 0.944641, 0.878088, 0.647548, 0.430345, 0.323694, 177, 1
279, 201, 812, 10305112, 5, 3, 130, 248, 10000000, 10000000, 1, 1, 1, 0, 0, 177, 1
223, 201, 819, 10305112, 5, 3, 130, 248, 10000000, 10000000, 0.970143, 1, 1, 0, 0, 177, 0
173, 201, 845, 10305112, 5, 130, 248, 3, 279, 223, 0.861245, 0.969489, 0.754556, 1, 1, 177, 0
248, 220, 798, 10305539, 6, 288, 196, 3, 95, 130, 0.945652, 0.954212, 1, 0.797766, 1, 177, 0
130, 248, 798, 10305539, 6, 258, 196, 3, 288, 95, 0.955915, 0.94832, 1, 0.605446, 0.539165, 177, 0
3, 275, 798, 10305540, 6, 196, 288, 258, 204, 95, 0.933474, 0.862153, 0.796596, 0.645103, 0.646997, 177, 1
95, 318, 801, 10305850, 7, 82, 288, 258, 204, 196, 0.968971, 1, 1, 1, 1, 177, 0
196, 354, 801, 10305850, 7, 82, 288, 258, 204, 31, 1, 1, 1, 1, 0.86324, 177, 1
204, 381, 801, 10305850, 7, 82, 135, 31, 108, 234, 1, 0.607601, 1, 0.968815, 0.479205, 177, 0
258, 387, 801, 10305850, 7, 82, 135, 31, 33, 108, 1, 0.792959, 1, 0.476779, 1, 177, 0
288, 387, 801, 10305850, 7, 82, 135, 31, 108, 294, 1, 0.844603, 1, 1, 0.36232, 177, 0
204, 381, 801, 10306277, 8, 82, 135, 31, 108, 234, 1, 0.607522, 1, 0.968771, 0.479172, 177, 0
258, 387, 801, 10306277, 8, 82, 135, 31, 33, 108, 1, 0.792905, 1, 0.476747, 1, 177, 0
288, 387, 801, 10306277, 8, 82, 135, 31, 108, 294, 1, 0.844559, 1, 1, 0.362301, 177, 0
82, 483, 798, 10306277, 8, 135, 294, 271, 234, 33, 0.822887, 0.724603, 0.724249, 0.68693, 0.646013, 177, 1
33, 520, 801, 10306691, 9, 6, 175, 217, 263, 296, 1, 0.969695, 1, 0.972189, 0.967411, 177, 0
135, 551, 801, 10306691, 9, 6, 175, 217, 296, 263, 1, 1, 1, 1, 1, 177, 1
234, 579, 801, 10306692, 9, 6, 175, 217, 296, 263, 1, 0.969695, 1, 1, 1, 177, 0
271, 587, 801, 10306692, 9, 6, 175, 217, 296, 263, 0.970091, 1, 1, 1, 1, 177, 0
294, 587, 801, 10306692, 9, 6, 175, 217, 296, 263, 1, 1, 1, 1, 1, 177, 0
263, 598, 787, 10306989, 10, 6, 175, 217, 225, 10000000, 1, 1, 1, 0.137179, 0, 177, 0
296, 598, 787, 10306989, 10, 6, 175, 217, 225, 10000000, 1, 1, 0.971832, 0.107797, 0, 177, 0
