source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id
94, 801, 679, 10324708, 16, 37, 165, 10000000, 10000000, 10000000, 1, 0.480844, 0, 0, 0, 37, 0
165, 798, 755, 10324708, 16, 37, 10000000, 10000000, 10000000, 10000000, 0.969642, 0, 0, 0, 0, 37, 0
165, 798, 755, 10324966, 17, 37, 10000000, 10000000, 10000000, 10000000, 0.969615, 0, 0, 0, 0, 37, 0
226, 201, 224, 11299999, 1, 254, 23, 174, 13, 126, 1, 1, 0.75447, 0.824994, 1, 1, 0
126, 201, 257, 11300200, 2, 265, 174, 259, 23, 13, 1, 0.930477, 0.863195, 1, 0.824971, 1, 0
23, 201, 298, 11300200, 2, 254, 174, 259, 265, 206, 1, 0.962722, 0.647396, 0.569416, 0.603191, 1, 0
13, 198, 301, 11300200, 2, 65, 186, 254, 265, 259, 1, 1, 1, 1, 1, 1, 0
174, 198, 338, 11300200, 2, 65, 186, 254, 265, 251, 1, 1, 1, 1, 0.969296, 1, 0
254, 201, 425, 11300200, 2, 65, 186, 172, 45, 191, 1, 1, 1, 0.86077, 0.477857, 1, 1
186, 201, 459, 11300484, 3, 65, 191, 10000000, 10000000, 10000000, 1, 0.241651, 0, 0, 0, 1, 0
65, 201, 499, 11300484, 3, 191, 67, 10000000, 10000000, 10000000, 0.637114, 0.56953, 0, 0, 0, 1, 1
191, 201, 658, 11300782, 4, 279, 67, 223, 10, 55, 0.878946, 1, 0.55061, 0.647115, 0.12089, 1, 1
10, 198, 698, 11301222, 5, 55, 173, 223, 279, 248, 1, 1, 1, 1, 0.864245, 1, 0
67, 201, 705, 11301222, 5, 279, 223, 55, 173, 10000000, 0.953391, 0.915196, 0.698195, 0.689189, 0, 1, 1
223, 201, 826, 11301223, 5, 130, 3, 248, 166, 55, 1, 0.860176, 1, 1, 1, 1, 0
279, 201, 812, 11305422, 6, 3, 130, 248, 55, 173, 0.967262, 1, 1, 1, 1, 1, 1
223, 201, 826, 11305423, 6, 130, 3, 248, 166, 55, 1, 0.859788, 1, 1, 1, 1, 0
248, 227, 798, 11305720, 7, 288, 196, 3, 95, 130, 0.954269, 0.960471, 1, 0.825572, 1, 1, 0
173, 201, 858, 11305720, 7, 55, 59, 130, 3, 166, 1, 0.971292, 0.86184, 0.64482, 0.753701, 1, 0
130, 260, 798, 11305720, 7, 258, 196, 95, 3, 288, 0.96195, 0.956532, 1, 1, 0.648049, 1, 1
55, 201, 892, 11305720, 7, 166, 3, 10000000, 10000000, 10000000, 0.954297, 0.53735, 0, 0, 0, 1, 1
3, 289, 798, 11309920, 8, 135, 288, 196, 204, 258, 1, 0.971633, 0.945278, 0.843123, 0.686711, 1, 0
95, 304, 801, 11309920, 8, 33, 82, 288, 258, 204, 1, 1, 1, 1, 1, 1, 0
196, 342, 801, 11309920, 8, 82, 288, 258, 31, 204, 1, 1, 1, 0.861367, 1, 1, 0
258, 386, 801, 11309920, 8, 82, 31, 135, 33, 52, 1, 1, 0.684035, 0.548224, 0.549309, 1, 1
288, 387, 801, 11309920, 8, 217, 296, 271, 33, 82, 1, 1, 1, 1, 1, 1, 0
31, 401, 896, 11310282, 9, 163, 10000000, 10000000, 10000000, 10000000, 0.859522, 0, 0, 0, 0, 1, 1
52, 398, 909, 11310282, 9, 282, 176, 208, 163, 42, 0.967924, 0.754393, 0.752206, 1, 0.539702, 1, 0
82, 497, 798, 11310282, 9, 217, 175, 294, 271, 135, 1, 0.880167, 0.753953, 0.753624, 0.84384, 1, 1
33, 508, 801, 11310282, 9, 6, 175, 217, 294, 271, 0.971646, 0.9694, 1, 1, 1, 1, 0
135, 538, 801, 11310283, 9, 6, 175, 217, 296, 263, 1, 1, 1, 1, 1, 1, 0
135, 538, 801, 11310697, 10, 6, 175, 217, 296, 263, 1, 1, 1, 1, 1, 1, 0
271, 587, 801, 11310697, 10, 6, 175, 217, 109, 192, 0.971602, 1, 1, 0.644933, 0.304274, 1, 0
294, 587, 801, 11310697, 10, 6, 175, 217, 109, 296, 1, 1, 1, 0.537444, 1, 1, 0
217, 624, 798, 11310697, 10, 225, 6, 175, 192, 272, 0.823514, 1, 1, 0.233695, 0.120558, 1, 1
175, 661, 798, 11310697, 10, 200, 6, 272, 225, 127, 0.786313, 1, 0.431108, 0.377887, 0.15952, 1, 0
175, 661, 798, 11311124, 11, 200, 6, 272, 225, 127, 0.786049, 1, 0.431088, 0.377856, 0.159509, 1, 0
6, 699, 798, 11311124, 11, 192, 272, 225, 200, 127, 0.957183, 0.754405, 0.686221, 0.686535, 0.323454, 1, 1
272, 812, 798, 11311125, 11, 69, 127, 51, 57, 225, 0.971474, 1, 1, 1, 1, 1, 0
163, 398, 946, 11314483, 10, 208, 282, 176, 42, 10000000, 1, 1, 0.861773, 0.647349, 0, 1, 1
282, 412, 998, 11314741, 11, 42, 176, 208, 230, 297, 1, 1, 1, 0.43634, 0.429489, 1, 1
200, 827, 798, 11315325, 12, 69, 51, 57, 127, 225, 0.863141, 1, 1, 0.969924, 1, 1, 0
192, 863, 798, 11315325, 12, 51, 177, 57, 69, 203, 1, 1, 1, 0.647356, 0.273738, 1, 1
57, 904, 798, 11315739, 13, 51, 10000000, 10000000, 10000000, 10000000, 0.841809, 0, 0, 0, 0, 1, 0
51, 909, 801, 11315739, 13, 63, 184, 10000000, 10000000, 10000000, 0.755427, 0.861493, 0, 0, 0, 1, 1
177, 946, 801, 11315739, 13, 63, 184, 203, 235, 51, 0.863345, 1, 1, 0.322087, 1, 1, 0
166, 198, 941, 11317920, 8, 199, 106, 10000000, 10000000, 10000000, 0.86121, 0.753436, 0, 0, 0, 1, 1
208, 427, 998, 11318941, 12, 42, 297, 277, 176, 230, 1, 0.634361, 0.60367, 1, 0.466771, 1, 0
176, 453, 998, 11318941, 12, 297, 42, 277, 134, 230, 0.781082, 1, 0.547747, 0.241681, 0.188288, 1, 0
42, 504, 998, 11318941, 12, 297, 134, 277, 230, 80, 0.94888, 0.68611, 0.684683, 0.547728, 0.465588, 1, 1
297, 612, 998, 11319342, 13, 80, 134, 141, 230, 36, 1, 1, 0.603456, 1, 0.538554, 1, 1
277, 612, 998, 11319342, 13, 80, 134, 230, 36, 141, 1, 1, 1, 0.538554, 0.482764, 1, 0
230, 626, 998, 11319342, 13, 141, 80, 134, 36, 97, 0.960009, 1, 1, 0.646264, 0.120618, 1, 0
230, 626, 998, 11319730, 14, 141, 80, 134, 36, 97, 0.959958, 1, 1, 0.646237, 0.120612, 1, 0
134, 654, 998, 11319731, 14, 141, 36, 80, 10000000, 10000000, 0.968765, 0.943868, 1, 0, 0, 1, 0
80, 696, 998, 11319731, 14, 141, 36, 97, 10000000, 10000000, 1, 0.943868, 0.23401, 0, 0, 1, 1
141, 740, 1001, 11319731, 14, 97, 74, 242, 1, 146, 1, 0.753284, 0.475355, 0.376942, 0.136907, 1, 0
36, 703, 1001, 11320067, 15, 97, 141, 74, 242, 10000000, 0.970736, 1, 0.53804, 0.231741, 0, 1, 0
141, 740, 1001, 11320067, 15, 97, 74, 242, 1, 146, 1, 0.753256, 0.47533, 0.376918, 0.1369, 1, 1
97, 893, 998, 11320364, 16, 1, 10000000, 10000000, 10000000, 10000000, 0.843538, 0, 0, 0, 0, 1, 1
225, 801, 829, 11327325, 12, 69, 127, 74, 10000000, 10000000, 1, 1, 0.696156, 0, 0, 1, 0
127, 801, 858, 11327325, 12, 69, 74, 10000000, 10000000, 10000000, 1, 0.645144, 0, 0, 0, 1, 0
57, 904, 798, 11327325, 12, 51, 10000000, 10000000, 10000000, 10000000, 0.840638, 0, 0, 0, 0, 1, 0
51, 908, 801, 11327325, 12, 63, 184, 10000000, 10000000, 10000000, 0.754483, 0.860419, 0, 0, 0, 1, 0
69, 801, 901, 11331525, 13, 74, 10000000, 10000000, 10000000, 10000000, 1, 0, 0, 0, 0, 1, 0
74, 798, 907, 11331525, 13, 141, 97, 36, 10000000, 10000000, 0.752529, 0.538632, 0.537848, 0, 0, 1, 0
74, 798, 907, 11331900, 14, 141, 97, 36, 10000000, 10000000, 0.752498, 0.53861, 0.537826, 0, 0, 1, 0
267, 201, 215, 12299999, 1, 23, 126, 153, 259, 27, 1, 1, 1, 0.687197, 0.864314, 184, 0
126, 201, 271, 12300200, 2, 265, 254, 259, 206, 174, 1, 0.918758, 0.968158, 1, 0.943598, 184, 0
23, 201, 312, 12300200, 2, 254, 259, 265, 186, 174, 1, 1, 0.638105, 0.550056, 0.967229, 184, 1
259, 198, 385, 12300200, 2, 172, 65, 186, 45, 251, 1, 1, 1, 0.860862, 1, 184, 0
174, 198, 324, 12300523, 3, 186, 65, 254, 265, 259, 1, 0.971137, 1, 1, 1, 184, 0
259, 198, 385, 12300523, 3, 172, 65, 186, 45, 251, 1, 1, 1, 0.860832, 1, 184, 0
265, 201, 415, 12300523, 3, 65, 172, 186, 45, 251, 1, 1, 1, 0.753228, 1, 184, 0
254, 201, 433, 12300523, 3, 65, 172, 186, 45, 191, 1, 0.969026, 1, 0.753228, 0.412181, 184, 1
186, 201, 472, 12300523, 3, 65, 191, 10000000, 10000000, 10000000, 1, 0.2156, 0, 0, 0, 184, 0
186, 201, 472, 12300911, 4, 65, 191, 10000000, 10000000, 10000000, 1, 0.215591, 0, 0, 0, 184, 0
65, 201, 512, 12300911, 4, 191, 67, 10000000, 10000000, 10000000, 0.686932, 0.63817, 0, 0, 0, 184, 1
56, 127, 198, 13299999, 1, 27, 267, 153, 215, 226, 1, 0.971867, 0.761641, 0.969528, 0.430164, 146, 0
215, 157, 201, 13300200, 2, 27, 71, 218, 226, 153, 1, 1, 0.871631, 1, 0.969828, 146, 0
267, 201, 221, 13300200, 2, 206, 23, 126, 174, 153, 0.951029, 1, 1, 0.755039, 0.969828, 146, 1
153, 279, 198, 13300200, 2, 292, 264, 221, 218, 178, 1, 1, 0.796939, 0.863629, 1, 146, 0
27, 325, 198, 13300200, 2, 264, 292, 218, 268, 221, 1, 0.724648, 0.863629, 0.60267, 0.549583, 146, 1
218, 356, 201, 13300536, 3, 88, 112, 41, 221, 268, 0.970276, 1, 0.862381, 1, 1, 146, 0
264, 380, 201, 13300536, 3, 111, 116, 41, 88, 112, 0.950354, 1, 0.970178, 0.970276, 1, 146, 1
292, 412, 198, 13300536, 3, 111, 88, 112, 116, 49, 1, 1, 1, 0.864219, 0.863187, 146, 0
268, 421, 198, 13300536, 3, 88, 112, 216, 49, 41, 0.970276, 1, 0.827319, 0.968641, 0.862381, 146, 0
221, 443, 198, 13300537, 3, 88, 266, 112, 49, 116, 1, 0.753185, 1, 1, 0.826109, 146, 0
112, 490, 198, 13300990, 4, 266, 216, 88, 116, 131, 1, 1, 1, 0.726561, 0.215695, 146, 0
116, 511, 201, 13300990, 4, 131, 266, 216, 102, 88, 1, 1, 1, 0.75603, 1, 146, 1
88, 539, 198, 13300990, 4, 194, 86, 266, 102, 216, 1, 0.773329, 1, 0.703944, 0.965145, 146, 0
126, 201, 286, 13304400, 3, 265, 254, 259, 206, 23, 1, 0.936882, 0.970154, 1, 1, 146, 0
174, 198, 310, 13304400, 3, 186, 254, 265, 65, 259, 1, 1, 1, 0.862895, 1, 146, 0
23, 201, 325, 13304400, 3, 254, 259, 206, 265, 186, 1, 1, 0.959781, 0.687497, 0.483315, 146, 1
88, 539, 198, 13305190, 5, 194, 86, 266, 102, 216, 1, 0.770825, 1, 0.703251, 0.964587, 146, 0
216, 558, 201, 13305190, 5, 131, 102, 86, 194, 47, 1, 0.863643, 0.860162, 0.723716, 0.538427, 146, 0
266, 578, 201, 13305190, 5, 102, 86, 131, 47, 194, 1, 1, 1, 0.797335, 0.796548, 146, 1
206, 198, 350, 13308600, 4, 65, 186, 254, 251, 265, 1, 1, 1, 0.969402, 1, 146, 0
259, 198, 381, 13308600, 4, 65, 186, 172, 254, 251, 1, 1, 0.971142, 1, 0.969402, 146, 0
265, 201, 419, 13308600, 4, 65, 186, 172, 254, 251, 1, 1, 0.971142, 1, 0.969402, 146, 0
254, 201, 444, 13308601, 4, 65, 186, 172, 45, 191, 1, 1, 0.863237, 0.6477, 0.362038, 146, 1
