source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id
281, 8, -1, 10299999, 1, 38, 29, 8, 11, 154, 0.962637, 0.949451, 1, 1, 1, 37, 1
154, 1, 47, 10300200, 2, 11, 159, 29, 247, 170, 1, 0.604127, 0.646374, 0.363296, 0.30443, 37, 0
8, 78, -1, 10300200, 2, 278, 247, 144, 164, 38, 1, 1, 0.752797, 0.613758, 0.754327, 37, 1
11, 1, 81, 10300200, 2, 170, 29, 159, 38, 10000000, 0.726205, 0.969562, 0.724953, 0.107761, 0, 37, 0
29, -1, 115, 10300200, 2, 32, 170, 207, 159, 197, 0.971012, 0.972748, 0.863672, 0.972576, 0.754232, 37, 1
159, -1, 151, 10304400, 3, 64, 32, 170, 207, 197, 1, 1, 1, 0.97119, 0.86159, 37, 0
170, 1, 248, 10304400, 3, 168, 32, 64, 56, 10000000, 0.755687, 1, 0.548004, 0.752959, 0, 37, 1
38, 109, 1, 10308400, 3, 164, 212, 243, 278, 285, 0.967255, 1, 1, 1, 1, 37, 0
144, 156, 1, 10308400, 3, 7, 62, 98, 117, 164, 1, 0.911385, 0.971401, 1, 1, 37, 0
247, 178, 1, 10308400, 3, 62, 98, 7, 117, 164, 1, 1, 1, 1, 0.967255, 37, 0
278, 201, 12, 10308400, 3, 60, 98, 7, 240, 117, 0.958619, 1, 1, 0.685815, 1, 37, 1
32, 1, 281, 10308600, 4, 168, 43, 64, 10000000, 10000000, 0.966542, 0.771349, 0.647752, 0, 0, 37, 0
64, -1, 317, 10308601, 4, 43, 168, 50, 110, 283, 0.967949, 1, 0.537697, 0.538988, 0.303907, 37, 0
168, -1, 358, 10308601, 4, 43, 50, 110, 236, 182, 1, 0.825515, 0.646786, 0.274164, 0.274809, 37, 1
117, 201, 49, 10308671, 4, 98, 240, 180, 60, 267, 1, 0.646897, 0.60226, 0.646855, 0.482532, 37, 0
98, 201, 76, 10308671, 4, 180, 240, 60, 226, 126, 0.962887, 0.84427, 0.966917, 0.411959, 0.363049, 37, 0
7, 280, -1, 10308671, 4, 62, 143, 231, 275, 150, 1, 0.844377, 0.53815, 0.537191, 0.241774, 37, 1
60, 198, 105, 10308671, 4, 126, 226, 267, 240, 180, 0.970373, 1, 1, 1, 1, 37, 1
240, 198, 179, 10308672, 4, 23, 126, 153, 27, 226, 0.968646, 1, 1, 0.862497, 1, 37, 0
43, 1, 476, 10308989, 5, 157, 244, 245, 50, 182, 0.932863, 0.873644, 0.861719, 1, 0.752068, 37, 1
50, -1, 520, 10308989, 5, 28, 157, 283, 244, 236, 1, 0.969524, 1, 1, 0.861664, 37, 0
180, 198, 153, 10309125, 5, 23, 126, 226, 267, 153, 0.968598, 1, 1, 1, 0.860603, 37, 0
240, 198, 179, 10309125, 5, 23, 126, 153, 27, 226, 0.968598, 1, 1, 0.862455, 1, 37, 0
267, 201, 212, 10309125, 5, 23, 27, 153, 13, 174, 0.968598, 0.970262, 1, 0.697065, 0.636945, 37, 1
50, -1, 520, 10309247, 6, 28, 157, 283, 244, 236, 1, 0.969497, 1, 1, 0.86164, 37, 0
182, -1, 556, 10309247, 6, 236, 28, 128, 157, 283, 1, 1, 0.859839, 0.969497, 1, 37, 0
245, -1, 579, 10309247, 6, 34, 128, 236, 28, 2, 0.861525, 0.967319, 1, 1, 1, 37, 0
244, 1, 618, 10309248, 6, 34, 128, 236, 28, 2, 0.969215, 1, 1, 1, 0.824178, 37, 1
236, 19, 598, 10313448, 7, 34, 103, 128, 191, 10000000, 0.968777, 0.686206, 1, 0.215527, 0, 37, 0
128, 44, 598, 10313448, 7, 34, 103, 107, 191, 67, 0.968777, 0.63852, 0.362158, 0.23269, 0.120663, 37, 1
28, 1, 682, 10313448, 7, 128, 34, 236, 10000000, 10000000, 0.75202, 0.53821, 0.86125, 0, 0, 37, 0
2, -1, 718, 10313448, 7, 299, 289, 262, 210, 189, 1, 1, 1, 0.863152, 0.755188, 37, 0
62, 318, 1, 10316872, 5, 5, 150, 231, 275, 152, 0.967138, 1, 1, 1, 0.85896, 37, 1
143, 354, 1, 10316872, 5, 5, 152, 150, 231, 48, 1, 1, 1, 1, 0.860089, 37, 0
275, 401, 12, 10317299, 6, 100, 48, 280, 152, 5, 1, 1, 0.645651, 1, 0.967094, 37, 0
231, 401, 19, 10317299, 6, 132, 100, 280, 48, 237, 0.950372, 0.861154, 0.75326, 0.967556, 0.602065, 37, 0
150, 447, -1, 10317299, 6, 5, 181, 61, 253, 48, 1, 0.724701, 0.751324, 0.539357, 0.752544, 37, 0
5, 488, -1, 10317299, 6, 46, 181, 253, 61, 105, 1, 0.753407, 0.549274, 0.6014, 0.234002, 37, 1
153, 242, 198, 10317325, 6, 71, 218, 27, 178, 264, 0.969067, 0.686708, 1, 0.685987, 0.549437, 37, 0
23, 201, 285, 10317325, 6, 174, 265, 186, 13, 259, 0.954172, 0.700005, 0.567203, 0.752558, 0.603499, 37, 1
13, 198, 315, 10317325, 6, 65, 186, 254, 265, 259, 1, 1, 1, 1, 1, 37, 0
174, 198, 351, 10317325, 6, 65, 186, 254, 265, 251, 1, 1, 1, 1, 0.971136, 37, 0
13, 198, 315, 10317583, 7, 65, 186, 254, 265, 259, 1, 1, 1, 1, 1, 37, 0
174, 198, 351, 10317583, 7, 65, 186, 254, 265, 251, 1, 1, 1, 1, 0.971109, 37, 1
259, 198, 387, 10317583, 7, 45, 172, 65, 186, 251, 0.970053, 1, 1, 1, 1, 37, 0
265, 201, 412, 10317583, 7, 172, 65, 45, 186, 251, 1, 1, 0.862269, 1, 1, 37, 0
186, 201, 446, 10317584, 7, 65, 45, 191, 10000000, 10000000, 0.96645, 0.754486, 0.274217, 0, 0, 37, 0
61, 515, 1, 10317622, 7, 105, 149, 91, 253, 181, 1, 0.860615, 0.754197, 1, 1, 37, 0
181, 561, 1, 10317622, 7, 149, 91, 46, 105, 253, 1, 0.86194, 0.926881, 1, 1, 37, 1
253, 580, 1, 10317622, 7, 91, 149, 12, 105, 188, 1, 1, 0.635336, 1, 0.481809, 37, 0
34, 79, 598, 10317648, 8, 103, 107, 191, 10000000, 10000000, 0.962362, 0.274189, 0.215429, 0, 0, 37, 1
103, 112, 601, 10317648, 8, 107, 191, 67, 20, 223, 1, 0.861718, 0.754586, 0.410553, 0.120808, 37, 0
265, 201, 412, 10317906, 8, 172, 65, 45, 186, 251, 1, 1, 0.862239, 1, 1, 37, 0
254, 201, 419, 10317907, 8, 172, 65, 45, 186, 251, 1, 1, 0.862239, 1, 0.971075, 37, 0
186, 201, 446, 10317907, 8, 65, 45, 191, 10000000, 10000000, 0.966416, 0.754459, 0.274205, 0, 0, 37, 0
65, 201, 486, 10317907, 8, 191, 67, 10000000, 10000000, 10000000, 0.566494, 0.323385, 0, 0, 0, 37, 1
103, 112, 601, 10318088, 9, 107, 191, 67, 20, 223, 1, 0.861677, 0.754551, 0.410528, 0.120801, 37, 1
191, 201, 646, 10318295, 9, 107, 67, 10, 10000000, 10000000, 0.754058, 1, 0.603177, 0, 0, 37, 1
107, 271, 598, 10318411, 10, 148, 20, 156, 10000000, 10000000, 0.538925, 0.645762, 0.362133, 0, 0, 37, 1
20, 315, 601, 10318412, 10, 156, 96, 148, 79, 16, 1, 0.861322, 0.86228, 0.751219, 0.548933, 37, 0
67, 201, 690, 10318644, 10, 107, 10000000, 10000000, 10000000, 10000000, 0.646311, 0, 0, 0, 0, 37, 1
10, 198, 713, 10318644, 10, 248, 130, 3, 67, 10000000, 0.860513, 0.644994, 0.538183, 0.953592, 0, 37, 0
20, 315, 601, 10318670, 11, 156, 96, 148, 79, 16, 1, 0.861298, 0.862256, 0.751198, 0.548914, 37, 1
