source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r
144, 160, 1, 10000000, 1, 98, 117, 164, 212, 278, 1, 1, 1, 1, 1
278, 201, 12, 10000200, 2, 98, 7, 117, 240, 60, 1, 1, 1, 0.501444, 0.557589
212, 201, 17, 10000200, 2, 98, 60, 117, 7, 240, 1, 0.669107, 1, 0.890548, 0.501082
117, 201, 45, 10000200, 2, 60, 98, 240, 180, 267, 0.780625, 1, 0.572869, 0.574603, 0.50971
98, 201, 73, 10006201, 3, 180, 267, 240, 126, 23, 0.750039, 0.601508, 0.572377, 0.502645, 0.430723
60, 198, 110, 10006201, 3, 226, 267, 126, 240, 180, 1, 0.999375, 0.891632, 1, 1
240, 198, 181, 10006201, 3, 27, 153, 23, 226, 267, 1, 1, 0.889991, 1, 0.999375
180, 198, 157, 10007112, 4, 153, 23, 267, 126, 226, 1, 0.889901, 0.999274, 0.891541, 0.889539
240, 198, 181, 10007112, 4, 27, 153, 23, 226, 267, 1, 1, 0.889901, 1, 0.999274
126, 201, 241, 10007112, 4, 13, 174, 23, 27, 259, 0.836135, 0.446531, 0.778663, 0.891481, 0.334028
23, 201, 281, 10015313, 5, 254, 259, 206, 174, 13, 1, 0.778689, 0.666184, 0.668208, 0.667992
13, 198, 319, 10015313, 5, 65, 186, 254, 265, 259, 0.998872, 1, 1, 0.999091, 1
174, 198, 354, 10015313, 5, 65, 186, 251, 254, 265, 0.998872, 1, 1, 1, 0.999266
259, 198, 387, 10015313, 5, 45, 65, 172, 186, 251, 1, 0.998872, 1, 1, 1
259, 198, 387, 10015649, 6, 45, 65, 172, 186, 251, 1, 0.998835, 1, 1, 1
265, 201, 412, 10015649, 6, 45, 65, 172, 186, 251, 1, 0.998835, 1, 1, 1
254, 201, 417, 10015649, 6, 45, 65, 172, 186, 191, 1, 0.998835, 1, 1, 0.250014
186, 201, 443, 10015649, 6, 45, 65, 172, 10000000, 10000000, 1, 0.998835, 1, 0, 0
65, 201, 482, 10019849, 7, 191, 10000000, 10000000, 10000000, 10000000, 0.376274, 0, 0, 0, 0
164, 257, -1, 11000000, 1, 62, 7, 150, 143, 275, 1, 1, 0.512645, 0.445362, 0.30003
7, 289, -1, 11000200, 2, 143, 275, 231, 62, 150, 0.859353, 0.669263, 0.500555, 0.6266, 0.251947
62, 309, 1, 11000200, 2, 150, 231, 275, 143, 5, 1, 1, 1, 1, 0.700761
143, 346, 1, 11000200, 2, 5, 150, 231, 275, 152, 1, 1, 1, 1, 0.891928
143, 346, 1, 11000627, 3, 5, 150, 231, 275, 152, 1, 1, 1, 1, 0.891885
275, 401, 12, 11000627, 3, 48, 5, 152, 100, 150, 1, 0.90094, 0.900293, 0.601613, 1
150, 456, -1, 11000627, 3, 253, 5, 61, 181, 48, 1, 1, 0.754824, 0.446299, 0.70103
5, 497, -1, 11000885, 4, 105, 253, 61, 181, 10000000, 1, 0.836235, 1, 0.401014, 0
