source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id
23, 201, 284, 10299999, 1, 234, 333, 403, 481, 206, 1, 0.920361, 0.915468, 0.909216, 0.789538, 231, 1
234, 198, 379, 10300200, 2, 45, 206, 65, 278, 316, 0.86101, 0.972415, 0.861034, 1, 1, 231, 1
333, 201, 412, 10300200, 2, 113, 189, 65, 45, 206, 0.915977, 0.967775, 0.968663, 0.86101, 1, 231, 0
403, 201, 412, 10300200, 2, 45, 189, 65, 206, 223, 0.968636, 0.967775, 0.861034, 1, 0.686025, 231, 0
481, 201, 412, 10300200, 2, 189, 65, 45, 206, 278, 0.967775, 0.968663, 0.86101, 0.972415, 1, 231, 0
206, 201, 446, 10300200, 2, 280, 319, 211, 65, 45, 1, 1, 0.698107, 1, 0.753383, 231, 0
278, 219, 398, 10300627, 3, 412, 45, 18, 189, 282, 0.887395, 0.968591, 0.755995, 1, 0.551227, 231, 1
316, 201, 418, 10300627, 3, 45, 113, 65, 206, 189, 0.86097, 0.794504, 0.860994, 1, 0.860205, 231, 0
206, 201, 446, 10300627, 3, 280, 319, 211, 65, 45, 1, 1, 0.698038, 1, 0.753349, 231, 1
65, 201, 485, 10300627, 3, 280, 223, 319, 113, 67, 0.938922, 0.863615, 0.645471, 0.540459, 0.38044, 231, 0
65, 201, 485, 10304827, 4, 280, 223, 319, 113, 67, 0.937998, 0.863224, 0.645179, 0.540214, 0.380136, 231, 0
319, 198, 584, 10304827, 4, 107, 67, 211, 280, 10, 0.968191, 1, 0.968237, 1, 0.569674, 231, 1
280, 201, 618, 10309028, 5, 107, 299, 67, 179, 211, 0.967753, 0.929435, 0.971618, 0.844356, 1, 231, 0
211, 201, 645, 10309028, 5, 67, 107, 433, 10, 376, 1, 0.726441, 0.722481, 0.686819, 0.548784, 231, 1
10, 198, 712, 10309028, 5, 345, 250, 191, 55, 275, 1, 1, 0.969947, 0.969108, 0.75298, 231, 0
189, 248, 398, 10312827, 4, 480, 356, 45, 18, 282, 0.962521, 0.755681, 0.967321, 0.755, 0.550302, 231, 0
45, 283, 398, 10312827, 4, 167, 412, 480, 283, 360, 1, 0.93818, 0.919438, 0.86999, 0.756665, 231, 1
18, 312, 401, 10312827, 4, 24, 167, 443, 360, 317, 0.971538, 0.967505, 1, 1, 1, 231, 0
480, 401, 412, 10317028, 5, 24, 115, 167, 104, 218, 1, 0.966866, 1, 0.969268, 1, 231, 0
412, 412, 398, 10317028, 5, 53, 24, 104, 167, 368, 0.951178, 1, 1, 1, 0.607246, 231, 0
283, 419, 398, 10317028, 5, 53, 24, 167, 431, 306, 1, 1, 1, 0.482153, 0.481681, 231, 0
167, 445, 398, 10317028, 5, 378, 24, 306, 145, 290, 0.822909, 1, 0.645009, 0.609851, 0.549544, 231, 1
67, 201, 691, 10317228, 6, 191, 250, 345, 433, 179, 1, 0.942157, 0.868195, 0.755231, 0.796596, 231, 1
10, 198, 712, 10317228, 6, 345, 250, 191, 55, 275, 1, 1, 0.969091, 0.968253, 0.752316, 231, 0
376, 198, 787, 10317228, 6, 3, 137, 275, 345, 250, 0.967336, 1, 0.967264, 1, 1, 231, 0
433, 198, 787, 10317228, 6, 3, 137, 275, 345, 250, 1, 1, 1, 1, 1, 231, 0
24, 485, 398, 10317338, 6, 368, 378, 431, 53, 306, 1, 0.912059, 0.753456, 0.966768, 0.687384, 231, 0
306, 578, 401, 10317338, 6, 21, 35, 180, 121, 290, 1, 1, 1, 1, 1, 231, 0
378, 587, 401, 10317338, 6, 85, 21, 35, 180, 121, 0.947734, 1, 1, 1, 1, 231, 1
180, 601, 445, 10317596, 7, 21, 85, 131, 464, 430, 1, 0.841738, 0.537489, 0.481171, 0.361815, 231, 0
121, 642, 398, 10317596, 7, 387, 328, 469, 81, 35, 1, 0.797644, 0.797023, 0.844757, 1, 231, 0
21, 601, 487, 10317596, 7, 304, 353, 464, 187, 248, 1, 0.842918, 0.842049, 0.6856, 0.751413, 231, 0
35, 683, 398, 10317596, 7, 407, 287, 81, 140, 125, 0.937037, 0.881842, 1, 0.721975, 0.792881, 231, 0
85, 598, 515, 10317597, 7, 187, 304, 4, 353, 430, 1, 1, 0.859776, 1, 0.969664, 231, 1
179, 198, 757, 10317655, 7, 275, 137, 3, 345, 250, 0.96722, 0.863224, 0.644861, 1, 1, 231, 0
433, 198, 787, 10317655, 7, 3, 137, 275, 345, 250, 1, 1, 1, 1, 1, 231, 0
345, 201, 812, 10317655, 7, 3, 137, 275, 10000000, 10000000, 0.967291, 1, 1, 0, 0, 231, 0
250, 201, 820, 10317655, 7, 3, 137, 275, 10000000, 10000000, 0.967291, 1, 0.96722, 0, 0, 231, 0
191, 201, 845, 10317655, 7, 137, 3, 275, 345, 250, 0.863224, 0.752338, 0.859751, 1, 0.96884, 231, 1
353, 598, 587, 10317907, 8, 19, 129, 4, 187, 277, 1, 0.969321, 0.966268, 1, 1, 231, 0
430, 598, 587, 10317907, 8, 400, 241, 129, 4, 84, 1, 1, 0.969321, 0.967216, 0.860861, 231, 0
304, 601, 620, 10317907, 8, 4, 84, 19, 187, 241, 1, 0.860861, 0.822858, 1, 0.684775, 231, 0
187, 601, 647, 10317907, 8, 400, 19, 205, 241, 4, 0.927896, 1, 0.860619, 0.721976, 0.967216, 231, 1
4, 601, 690, 10317907, 8, 241, 400, 205, 19, 483, 1, 0.966054, 1, 1, 0.60202, 231, 0
250, 201, 820, 10318004, 8, 3, 137, 275, 10000000, 10000000, 0.967255, 1, 0.967183, 0, 0, 231, 0
345, 201, 812, 10318004, 8, 3, 137, 275, 10000000, 10000000, 0.967255, 1, 1, 0, 0, 231, 0
4, 601, 690, 10318282, 9, 241, 400, 205, 19, 483, 1, 0.96601, 1, 1, 0.601993, 231, 0
19, 598, 711, 10318282, 9, 358, 426, 453, 245, 112, 0.970925, 0.966827, 0.966799, 0.86046, 0.967118, 231, 0
205, 598, 752, 10318282, 9, 453, 426, 358, 245, 195, 1, 1, 1, 0.968018, 0.754116, 231, 0
400, 598, 787, 10318282, 9, 6, 195, 245, 453, 426, 0.967169, 1, 1, 1, 1, 231, 1
426, 612, 798, 10318579, 10, 6, 195, 245, 323, 252, 0.967138, 1, 1, 0.318713, 0.305291, 231, 0
453, 612, 798, 10318579, 10, 6, 195, 245, 212, 252, 0.967138, 1, 1, 0.318654, 0.322085, 231, 0
245, 619, 798, 10318579, 10, 6, 195, 212, 252, 57, 0.967138, 1, 0.274656, 0.214723, 0.159168, 231, 0
195, 646, 798, 10318580, 10, 6, 227, 252, 212, 134, 1, 0.431137, 0.432347, 0.159327, 0.120515, 231, 0
6, 685, 798, 10318580, 10, 227, 323, 252, 212, 57, 0.698804, 0.566719, 0.429446, 0.362685, 0.318336, 231, 1
323, 812, 798, 10319007, 11, 57, 197, 212, 256, 51, 1, 0.721667, 1, 0.647207, 0.604212, 231, 0
227, 822, 798, 10319007, 11, 57, 51, 256, 212, 350, 1, 0.796608, 0.634718, 1, 0.53757, 231, 1
