source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id 
27, 277, 198, 10299999, 1, 454, 322, 332, 428, 389, 1, 0.60457, 0.647507, 0.646814, 0.539668, 437, 1, 1, 1, 1, 1, 1
332, 387, 201, 10300200, 2, 41, 118, 88, 117, 228, 1, 1, 0.971108, 1, 0.604633, 437, 0, 0, 0, 0, 0, 0
428, 387, 201, 10300200, 2, 41, 118, 88, 228, 117, 1, 1, 0.971108, 0.647835, 0.967782, 437, 0, 0, 0, 1, 0, 0
454, 387, 201, 10300200, 2, 218, 41, 420, 324, 118, 1, 1, 1, 0.776777, 1, 437, 0, 0, 1, 1, 0, 1
389, 412, 198, 10300200, 2, 420, 291, 244, 334, 41, 0.689011, 0.215498, 0.432284, 0.380549, 1, 437, 1, 1, 1, 1, 0, 0
322, 412, 198, 10300200, 2, 41, 291, 49, 118, 244, 1, 1, 0.972873, 1, 0.864569, 437, 0, 0, 0, 0, 0, 0
118, 401, 245, 10300575, 3, 438, 317, 218, 41, 116, 0.877665, 0.773953, 0.756441, 1, 0.756226, 437, 1, 1, 0, 0, 0, 0
41, 401, 287, 10300575, 3, 480, 228, 388, 324, 438, 0.885474, 0.971713, 0.795105, 0.754236, 0.635234, 437, 1, 0, 1, 1, 1, 1
324, 398, 387, 10300575, 3, 224, 115, 104, 24, 218, 1, 0.944227, 0.970991, 0.972827, 0.972095, 437, 0, 0, 0, 0, 0, 0
420, 587, 201, 10300576, 3, 379, 294, 114, 47, 207, 0.913152, 0.918985, 1, 0.75816, 0.602407, 437, 1, 0, 0, 0, 0, 1
228, 398, 373, 10304775, 4, 104, 218, 317, 480, 470, 1, 0.971655, 1, 1, 1, 437, 0, 0, 1, 1, 1, 0
324, 398, 387, 10304775, 4, 224, 115, 104, 24, 218, 1, 0.943479, 0.970551, 0.972385, 0.971655, 437, 0, 0, 0, 0, 0, 0
388, 401, 412, 10304776, 4, 317, 104, 24, 115, 218, 1, 1, 1, 0.723177, 0.971654, 437, 1, 0, 0, 0, 0, 0
480, 401, 412, 10304776, 4, 317, 104, 115, 24, 218, 1, 1, 0.752999, 1, 1, 437, 1, 0, 0, 0, 0, 1
317, 401, 415, 10305099, 5, 104, 224, 24, 115, 218, 1, 0.685306, 0.972351, 0.645405, 0.971621, 437, 0, 0, 0, 0, 0, 1
218, 401, 431, 10305099, 5, 155, 224, 104, 115, 24, 0.909073, 0.724238, 1, 0.752973, 0.864312, 437, 0, 0, 0, 0, 0, 0
104, 401, 467, 10305099, 5, 224, 115, 155, 79, 10000000, 0.548245, 0.602624, 0.274165, 0.159523, 0, 437, 0, 0, 1, 0, 1, 0
115, 398, 533, 10305099, 5, 79, 155, 224, 163, 312, 0.967828, 1, 1, 0.752422, 0.754731, 437, 0, 0, 0, 0, 1, 0
218, 401, 431, 10305422, 6, 155, 224, 104, 115, 24, 0.908984, 0.72421, 1, 0.752947, 0.864282, 437, 0, 0, 0, 0, 0, 0
104, 401, 467, 10305422, 6, 224, 115, 155, 79, 10000000, 0.548221, 0.6026, 0.274153, 0.159515, 0, 437, 0, 0, 1, 0, 1, 1
