source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id 
11, 1, 81, 10299999, 1, 489, 367, 364, 436, 151, 1, 1, 0.323293, 0.12077, 0.120524, 97, 1, 1, 1, 1, 1
367, 1, 212, 10300200, 2, 192, 32, 286, 56, 64, 0.887628, 1, 0.602495, 0.96918, 0.761403, 97, 0, 0, 1, 0, 0
32, 1, 281, 10304400, 3, 369, 43, 175, 64, 286, 1, 0.566121, 0.688518, 0.724815, 0.537666, 97, 1, 0, 0, 0, 0
64, -1, 319, 10304400, 3, 43, 369, 192, 318, 286, 0.969172, 1, 1, 0.967458, 1, 97, 0, 1, 0, 1, 0
286, -1, 381, 10304400, 3, 43, 446, 110, 192, 222, 1, 0.786322, 0.969746, 1, 1, 97, 0, 1, 0, 0, 0
64, -1, 319, 10308600, 4, 43, 369, 192, 318, 286, 0.968733, 1, 1, 0.967021, 1, 97, 0, 1, 0, 1, 0
175, -1, 355, 10308600, 4, 43, 369, 192, 222, 318, 1, 1, 0.96859, 0.96707, 1, 97, 0, 1, 0, 0, 1
286, -1, 381, 10308600, 4, 43, 446, 110, 192, 222, 1, 0.783733, 0.969308, 1, 1, 97, 0, 1, 0, 0, 0
369, -1, 387, 10308601, 4, 50, 43, 110, 192, 222, 1, 1, 0.969307, 1, 1, 97, 0, 0, 0, 0, 0
222, 30, 398, 10308859, 5, 278, 357, 158, 467, 266, 1, 0.824903, 0.754115, 0.685831, 0.687733, 97, 0, 1, 0, 1, 0
192, 1, 446, 10308859, 5, 488, 476, 361, 410, 349, 0.878737, 0.636868, 0.6365, 0.603532, 0.607416, 97, 1, 1, 1, 1, 1
110, 60, 398, 10308859, 5, 158, 357, 403, 467, 266, 1, 0.753756, 0.697176, 0.723277, 0.726212, 97, 0, 1, 1, 1, 0
43, 1, 474, 10308859, 5, 410, 361, 446, 349, 414, 0.94983, 0.947436, 0.703327, 0.644793, 0.60459, 97, 1, 1, 1, 1, 1
361, -1, 587, 10313059, 6, 279, 434, 34, 135, 2, 1, 1, 1, 1, 0.944463, 97, 0, 1, 0, 0, 0
410, -1, 587, 10313059, 6, 34, 135, 28, 164, 263, 1, 1, 0.968094, 1, 1, 97, 0, 0, 0, 0, 0
