source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id 
270, 219, -1, 10299999, 1, 341, 413, 380, 258, 157, 1, 0.871829, 0.798601, 0.610897, 0.137896, 172, 1, 1, 1, 1, 1
380, 387, 1, 10300200, 2, 48, 159, 5, 157, 258, 0.862408, 1, 0.971886, 1, 1, 172, 0, 0, 0, 0, 0
341, 401, 12, 10300200, 2, 139, 48, 100, 418, 5, 0.864131, 0.862408, 0.761681, 0.646044, 0.971886, 172, 0, 0, 0, 1, 0
48, 401, 79, 10300614, 3, 264, 346, 418, 100, 139, 0.864158, 0.823863, 0.757938, 0.912839, 0.726736, 172, 1, 1, 1, 0, 0
100, 398, 115, 10300614, 3, 118, 41, 439, 389, 322, 0.972915, 0.863313, 1, 1, 1, 172, 0, 0, 1, 1, 1
139, 398, 156, 10300615, 3, 118, 41, 454, 428, 332, 0.972915, 0.863313, 1, 1, 1, 172, 0, 0, 1, 1, 1
332, 387, 201, 10300951, 4, 41, 88, 118, 117, 228, 1, 0.97103, 1, 1, 0.604578, 172, 0, 0, 0, 0, 0
428, 387, 201, 10300951, 4, 41, 88, 118, 117, 228, 1, 0.97103, 1, 0.967704, 0.647783, 172, 0, 0, 0, 0, 1
454, 387, 201, 10300951, 4, 218, 420, 41, 324, 88, 1, 1, 1, 0.776325, 0.97103, 172, 0, 1, 0, 1, 0
118, 401, 245, 10300951, 4, 438, 317, 218, 41, 116, 0.87752, 0.773728, 0.756387, 1, 0.756195, 172, 1, 1, 0, 0, 0
41, 401, 287, 10300951, 4, 480, 228, 388, 324, 438, 0.885326, 0.971674, 0.795058, 0.754205, 0.635196, 172, 1, 0, 1, 1, 1
41, 401, 287, 10301274, 5, 480, 228, 388, 324, 438, 0.8852, 0.97164, 0.795017, 0.754179, 0.635163, 172, 1, 0, 1, 1, 1
116, 398, 349, 10301274, 5, 104, 356, 218, 224, 317, 0.970917, 1, 1, 0.790426, 1, 172, 0, 1, 0, 0, 1
438, 401, 412, 10301274, 5, 224, 24, 104, 115, 167, 1, 1, 0.970917, 0.753283, 1, 172, 0, 0, 0, 0, 0
167, 445, 398, 10301702, 6, 24, 455, 53, 431, 306, 1, 0.685831, 0.648232, 0.539091, 0.538395, 172, 0, 1, 0, 1, 0
104, 401, 467, 10301702, 6, 224, 115, 155, 24, 79, 0.5485, 0.602871, 0.274293, 0.648472, 0.15961, 172, 0, 0, 1, 0, 0
115, 398, 533, 10309902, 7, 79, 155, 225, 312, 163, 0.967329, 1, 0.13754, 0.75434, 0.752034, 172, 0, 0, 1, 1, 0
224, 398, 567, 10309902, 7, 79, 312, 155, 96, 163, 1, 1, 1, 0.645815, 0.752034, 172, 0, 0, 0, 0, 0
155, 401, 637, 10309902, 7, 96, 163, 108, 79, 178, 0.753451, 0.859467, 0.955254, 1, 0.606322, 172, 0, 0, 0, 0, 0
312, 419, 598, 10310251, 8, 381, 96, 163, 310, 174, 1, 1, 1, 0.644543, 0.603075, 172, 1, 0, 0, 0, 0
155, 401, 637, 10310251, 8, 96, 163, 108, 79, 178, 0.753422, 0.859435, 0.955201, 1, 0.606258, 172, 0, 0, 0, 0, 0
79, 401, 680, 10310251, 8, 96, 108, 163, 225, 296, 0.64579, 0.965889, 0.644576, 0.603451, 0.469132, 172, 0, 0, 1, 0, 0
108, 398, 728, 10310522, 9, 308, 82, 182, 225, 10000000, 0.860227, 0.647451, 0.751894, 1, 0, 172, 1, 0, 0, 0, 1
225, 398, 765, 10310523, 9, 82, 182, 308, 10000000, 10000000, 0.755359, 0.859308, 1, 0, 0, 172, 0, 0, 0, 1, 1
296, 401, 820, 10310523, 9, 82, 182, 308, 225, 10000000, 0.863268, 1, 1, 1, 0, 172, 0, 0, 0, 0, 1
228, 398, 373, 10313474, 6, 104, 218, 283, 317, 480, 1, 0.970743, 1, 1, 1, 172, 0, 0, 0, 1, 1
324, 398, 387, 10313474, 6, 224, 115, 24, 104, 167, 1, 0.941933, 0.971472, 0.969641, 1, 172, 0, 0, 0, 0, 0
388, 401, 412, 10313474, 6, 317, 24, 104, 167, 115, 1, 1, 1, 1, 0.722419, 172, 1, 0, 0, 0, 0
438, 401, 412, 10313474, 6, 224, 24, 104, 115, 167, 1, 1, 0.969641, 0.752295, 1, 172, 0, 0, 0, 0, 0
480, 401, 412, 10313474, 6, 317, 155, 24, 104, 115, 1, 0.241887, 1, 1, 0.752295, 172, 1, 1, 0, 0, 0
317, 401, 416, 10313797, 7, 24, 104, 167, 224, 115, 0.971438, 1, 1, 0.68449, 0.644802, 172, 0, 0, 0, 0, 0
104, 401, 467, 10313798, 7, 224, 115, 155, 24, 79, 0.547592, 0.601993, 0.273839, 0.647625, 0.159302, 172, 0, 0, 1, 0, 0
167, 445, 398, 10314121, 8, 24, 455, 53, 431, 306, 1, 0.684665, 0.647364, 0.53837, 0.537676, 172, 0, 1, 0, 1, 0
104, 401, 467, 10314121, 8, 224, 115, 155, 24, 79, 0.547568, 0.601969, 0.273827, 0.647603, 0.159294, 172, 0, 0, 1, 0, 0
115, 398, 533, 10314121, 8, 79, 155, 225, 312, 163, 0.96689, 1, 0.13746, 0.753997, 0.751693, 172, 0, 0, 1, 1, 0
224, 398, 567, 10314121, 8, 79, 312, 155, 96, 163, 1, 1, 1, 0.645522, 0.751693, 172, 0, 0, 0, 0, 0
163, 448, 598, 10314451, 9, 381, 96, 174, 310, 16, 0.9303, 1, 0.602769, 0.536877, 0.430891, 172, 1, 0, 0, 1, 0
96, 484, 598, 10314451, 9, 381, 277, 310, 129, 174, 1, 0.910215, 0.721733, 0.646456, 0.646641, 172, 1, 0, 0, 0, 0
174, 553, 601, 10314452, 9, 187, 84, 277, 304, 4, 1, 0.861184, 1, 1, 0.860068, 172, 0, 0, 0, 0, 0
310, 580, 601, 10314452, 9, 445, 144, 4, 187, 255, 1, 1, 1, 1, 0.774692, 172, 1, 0, 0, 0, 1
381, 612, 598, 10314452, 9, 90, 84, 4, 445, 255, 0.907904, 0.968832, 1, 0.724764, 0.684845, 172, 0, 0, 0, 1, 1
225, 398, 765, 10314723, 10, 82, 182, 308, 10000000, 10000000, 0.755017, 0.85892, 1, 0, 0, 172, 0, 0, 0, 1, 1
84, 685, 598, 10314762, 10, 411, 255, 417, 281, 445, 0.917309, 0.944476, 0.930546, 0.914551, 0.862434, 172, 1, 0, 1, 0, 1
90, 712, 601, 10314762, 10, 265, 94, 411, 355, 132, 1, 0.752317, 1, 1, 0.861118, 172, 0, 0, 1, 1, 0
255, 780, 601, 10314762, 10, 94, 132, 37, 265, 411, 1, 1, 0.635417, 1, 1, 172, 0, 0, 0, 0, 1
445, 787, 601, 10314762, 10, 94, 132, 265, 301, 37, 1, 1, 1, 0.566908, 0.565961, 172, 0, 0, 0, 1, 0
355, 801, 612, 10315137, 11, 37, 94, 132, 172, 301, 0.957111, 1, 1, 0.635339, 0.538906, 172, 0, 0, 0, 0, 0
411, 801, 612, 10315137, 11, 94, 172, 37, 132, 301, 1, 0.68765, 0.724739, 1, 0.646687, 172, 0, 0, 0, 0, 0
