source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r
153, 160, 1, 10000000, 1, 7, 98, 126, 252, 702, 1, 1, 1, 1, 1
702, 201, 12, 10000200, 2, 628, 279, 60, 7, 98, 1, 1, 0.837407, 1, 1
252, 201, 17, 10000200, 2, 734, 628, 742, 98, 60, 1, 1, 0.803018, 1, 0.754876
126, 201, 45, 10000200, 2, 734, 742, 697, 488, 628, 1, 1, 1, 0.670283, 0.626166
7, 276, -1, 10000200, 2, 673, 652, 315, 152, 415, 1, 1, 1, 0.754591, 0.717629
173, 257, -1, 11000000, 1, 315, 7, 429, 415, 152, 0.669179, 1, 0.502869, 0.502059, 0.503695
7, 289, -1, 11000200, 2, 673, 315, 493, 152, 415, 1, 1, 0.671375, 0.670292, 0.627558
152, 353, 1, 11000200, 2, 782, 673, 493, 304, 159, 1, 1, 1, 1, 0.90376
315, 378, 1, 11000200, 2, 61, 48, 159, 161, 844, 1, 0.901764, 1, 0.903, 1
429, 412, -1, 11000200, 2, 204, 48, 161, 159, 61, 1, 1, 1, 1, 0.700598
844, 401, 12, 11001022, 3, 48, 161, 796, 276, 5, 0.901689, 1, 0.499999, 0.501598, 0.700145
161, 401, 50, 11001022, 3, 327, 683, 729, 48, 796, 0.667388, 0.673272, 0.66891, 1, 0.62801
159, 456, -1, 11001022, 3, 707, 204, 346, 512, 394, 1, 0.836313, 0.754525, 0.604543, 0.602621
61, 506, 1, 11001022, 3, 105, 346, 707, 567, 307, 1, 1, 1, 1, 0.902495
567, 612, -1, 11001345, 4, 616, 91, 158, 105, 242, 1, 1, 1, 1, 0.669067
346, 617, -1, 11001345, 4, 891, 91, 158, 895, 105, 1, 0.903778, 1, 0.803107, 1
105, 683, -1, 11001345, 4, 745, 880, 242, 785, 616, 1, 1, 1, 0.802139, 0.714946
785, 787, 1, 11001617, 5, 724, 75, 121, 216, 408, 1, 0.753113, 0.904152, 0.672622, 0.556044
880, 787, 1, 11001617, 5, 590, 532, 285, 398, 249, 1, 1, 0.125364, 0.1117, 0.627553
616, 801, 12, 11001617, 5, 75, 800, 216, 121, 249, 1, 0.751607, 0.669137, 0.80369, 0.50233
745, 812, -1, 11001617, 5, 121, 241, 616, 577, 470, 0.904152, 0.901134, 1, 1, 1
470, 801, 12, 11002528, 6, 121, 249, 408, 75, 241, 0.904069, 0.501985, 0.500555, 0.502018, 0.901051
577, 801, 12, 11002528, 6, 121, 408, 375, 75, 599, 0.904069, 0.555988, 0.511827, 0.575154, 0.504754
616, 801, 12, 11002528, 6, 75, 800, 216, 121, 249, 1, 0.751435, 0.669035, 0.803617, 0.502253
241, 801, 31, 11002528, 6, 216, 75, 121, 408, 249, 0.836294, 0.83645, 0.904069, 0.400444, 0.400109
158, 601, 52, 11005889, 5, 301, 619, 91, 752, 520, 0.71796, 0.674665, 1, 0.626101, 0.599809
105, 683, -1, 11005889, 5, 745, 880, 242, 785, 616, 1, 1, 1, 0.801408, 0.714482
121, 801, 69, 11006728, 7, 724, 408, 249, 599, 75, 0.749916, 0.666874, 0.627151, 0.601033, 0.718509
75, 798, 107, 11006728, 7, 58, 129, 266, 800, 724, 1, 1, 1, 1, 1
724, 801, 212, 11010929, 8, 58, 129, 190, 338, 564, 0.903419, 0.902606, 0.574344, 0.501458, 0.40087
800, 801, 212, 11010929, 8, 232, 58, 338, 129, 40, 1, 1, 0.702041, 1, 0.702522
266, 801, 223, 11010929, 8, 232, 58, 129, 455, 338, 1, 0.903419, 1, 0.573941, 0.556194
121, 801, 69, 11011514, 7, 724, 408, 249, 599, 75, 0.74902, 0.66652, 0.626775, 0.600745, 0.718015
48, 401, 86, 11013222, 4, 542, 683, 498, 327, 784, 0.752836, 0.670518, 0.668084, 0.600189, 0.600785
683, 398, 187, 11013222, 4, 41, 118, 117, 88, 327, 0.890822, 1, 1, 0.891007, 1
729, 398, 187, 11013222, 4, 720, 41, 118, 117, 88, 1, 1, 1, 1, 0.891007
91, 601, 94, 11014089, 6, 235, 619, 520, 301, 674, 1, 1, 1, 1, 0.891468
301, 598, 176, 11014089, 6, 47, 114, 235, 353, 303, 0.837052, 0.901228, 1, 1, 1
520, 598, 187, 11014089, 6, 114, 235, 353, 140, 102, 1, 1, 1, 0.889742, 0.801693
752, 598, 187, 11014089, 6, 114, 47, 235, 353, 303, 0.901228, 0.755515, 1, 1, 1
303, 625, 198, 11014516, 7, 375, 845, 102, 114, 235, 1, 1, 1, 0.90119, 1
353, 601, 218, 11014516, 7, 114, 718, 414, 755, 47, 1, 0.603381, 0.600722, 0.571436, 0.600613
235, 601, 236, 11014516, 7, 515, 302, 603, 114, 547, 1, 0.671442, 0.624097, 0.90119, 0.499904
114, 601, 269, 11014517, 7, 306, 182, 711, 547, 47, 0.802552, 0.669636, 0.672535, 0.666538, 0.858864
75, 798, 107, 11014928, 8, 58, 129, 266, 800, 724, 1, 1, 1, 1, 1
249, 798, 173, 11014928, 8, 58, 129, 40, 800, 509, 1, 1, 0.754631, 1, 1
408, 798, 187, 11014929, 8, 487, 190, 58, 129, 99, 1, 0.805574, 0.903056, 1, 1
327, 401, 225, 11017716, 5, 655, 238, 41, 116, 88, 1, 1, 1, 0.701703, 0.890561
117, 459, 198, 11017716, 5, 500, 125, 88, 140, 694, 0.874976, 0.777061, 1, 0.669966, 0.669496
118, 401, 254, 11017716, 5, 342, 41, 224, 116, 468, 0.668596, 1, 0.598272, 0.60146, 0.50663
41, 401, 296, 11017717, 5, 342, 834, 686, 578, 468, 1, 1, 1, 1, 0.752672
468, 398, 387, 11018066, 6, 104, 169, 224, 24, 461, 1, 0.902257, 1, 0.800143, 0.668749
578, 398, 387, 11018066, 6, 104, 169, 224, 24, 115, 1, 0.902257, 1, 0.800143, 0.666533
834, 401, 412, 11018066, 6, 115, 104, 169, 461, 24, 0.799171, 1, 0.902257, 0.666944, 0.800143
342, 401, 418, 11018066, 6, 104, 115, 169, 24, 230, 1, 0.716207, 0.902257, 0.800143, 0.598671
169, 453, 398, 11018363, 7, 123, 334, 711, 24, 413, 1, 1, 0.996349, 1, 0.701387
104, 401, 475, 11018363, 7, 741, 569, 701, 157, 347, 1, 1, 0.667959, 0.601237, 0.572252
115, 398, 524, 11018363, 7, 748, 710, 620, 527, 426, 1, 1, 1, 1, 1
230, 398, 561, 11018363, 7, 825, 79, 157, 324, 748, 1, 1, 1, 1, 1
347, 398, 582, 11018712, 8, 96, 165, 79, 157, 324, 0.891667, 0.900909, 0.900671, 1, 1
569, 398, 587, 11018713, 8, 806, 165, 108, 96, 157, 1, 1, 1, 0.891666, 1
701, 398, 587, 11018713, 8, 79, 165, 157, 324, 465, 1, 0.900909, 1, 1, 0.749708
741, 398, 587, 11018713, 8, 96, 165, 79, 324, 157, 1, 1, 1, 1, 0.901888
157, 401, 644, 11018713, 8, 659, 96, 165, 79, 774, 1, 1, 0.900909, 1, 0.753533
47, 598, 305, 11018717, 8, 711, 547, 403, 642, 318, 1, 1, 1, 1, 0.999102
306, 598, 374, 11018717, 8, 416, 182, 334, 711, 547, 1, 1, 1, 1, 1
711, 601, 412, 11018717, 8, 85, 182, 21, 260, 123, 0.891693, 1, 0.800729, 0.601389, 0.99955
182, 601, 454, 11018717, 8, 684, 85, 563, 454, 133, 0.753605, 0.891693, 0.665964, 0.665914, 0.601795
334, 622, 398, 11019118, 9, 182, 813, 35, 21, 123, 1, 0.701864, 0.801784, 0.777114, 0.888449
547, 601, 412, 11019118, 9, 182, 21, 123, 563, 684, 1, 0.800697, 0.999506, 0.499446, 0.502353
711, 601, 412, 11019118, 9, 85, 182, 21, 260, 123, 0.891653, 1, 0.800697, 0.601364, 0.999506
182, 601, 454, 11019118, 9, 684, 85, 454, 563, 133, 0.75353, 0.891653, 0.665884, 0.665875, 0.60177
129, 801, 255, 11019129, 9, 190, 455, 58, 40, 564, 1, 0.798743, 1, 0.890058, 0.665924
58, 801, 299, 11019129, 9, 338, 455, 564, 232, 190, 0.99918, 0.877608, 0.700947, 0.626017, 0.77978
324, 422, 598, 11019140, 9, 16, 96, 165, 425, 614, 0.887725, 1, 1, 0.557016, 0.504998
