source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id 
60, 198, 105, 10299999, 1, 368, 313, 344, 132, 238, 1, 1, 1, 1, 0.860383, 226, 1, 1, 1, 0, 1, 1
344, 198, 187, 10300200, 2, 363, 366, 27, 13, 132, 1, 1, 0.972652, 0.945916, 1, 226, 1, 1, 0, 0, 0, 0
313, 201, 212, 10300200, 2, 305, 386, 23, 13, 366, 0.687088, 0.646598, 0.972263, 0.847886, 0.323246, 226, 1, 1, 0, 0, 1, 0
368, 201, 212, 10300200, 2, 305, 386, 399, 366, 299, 1, 0.538832, 0.482907, 0.361951, 0.362345, 226, 1, 1, 1, 1, 1, 1
132, 201, 244, 10300200, 2, 305, 299, 399, 386, 366, 0.757698, 0.877378, 0.646514, 0.431065, 0.215498, 226, 1, 0, 1, 1, 1, 0
366, 198, 387, 10300601, 3, 188, 45, 65, 205, 274, 1, 0.863558, 1, 1, 1, 226, 0, 0, 0, 0, 0, 0
386, 198, 387, 10300601, 3, 188, 45, 65, 205, 274, 1, 0.863558, 1, 1, 1, 226, 0, 0, 0, 0, 0, 1
299, 201, 418, 10300602, 3, 67, 188, 65, 45, 205, 0.12091, 1, 1, 0.755613, 1, 226, 1, 0, 0, 0, 0, 0
274, 219, 398, 10304802, 4, 45, 188, 18, 65, 395, 0.971062, 1, 0.644904, 0.859982, 0.479151, 226, 0, 0, 0, 0, 1, 0
188, 248, 398, 10304802, 4, 372, 278, 45, 335, 168, 1, 0.797066, 0.971062, 0.647326, 0.648132, 226, 1, 0, 0, 1, 0, 1
205, 201, 446, 10304802, 4, 210, 65, 222, 188, 45, 0.783097, 1, 0.75401, 0.864346, 0.539479, 226, 0, 0, 0, 0, 0, 0
65, 201, 485, 10304802, 4, 210, 276, 222, 113, 45, 0.758058, 0.6971, 0.63523, 0.723832, 0.431583, 226, 0, 0, 0, 0, 0, 1
45, 283, 398, 10305125, 5, 300, 395, 278, 166, 372, 0.966119, 0.917189, 0.862588, 0.701288, 0.686085, 226, 1, 1, 0, 0, 1, 1
168, 354, 401, 10305125, 5, 24, 166, 104, 217, 279, 1, 1, 0.971428, 1, 1, 226, 0, 0, 0, 0, 0, 0
335, 387, 401, 10305125, 5, 351, 302, 347, 24, 115, 1, 1, 1, 1, 1, 226, 1, 1, 1, 0, 0, 0
372, 412, 398, 10305125, 5, 144, 53, 24, 104, 166, 0.943025, 0.952748, 0.963674, 1, 1, 226, 0, 0, 0, 0, 0, 1
166, 445, 398, 10305539, 6, 24, 53, 144, 347, 286, 1, 0.752661, 0.539836, 0.317803, 0.232415, 226, 0, 0, 0, 1, 1, 0
104, 401, 467, 10305539, 6, 115, 154, 24, 10000000, 10000000, 0.863784, 0.483518, 0.646392, 0, 0, 226, 0, 0, 0, 1, 1, 0
24, 485, 398, 10305539, 6, 144, 286, 120, 53, 347, 1, 0.725228, 0.549547, 0.752661, 0.43212, 226, 0, 1, 0, 0, 1, 0
53, 516, 401, 10305540, 6, 35, 120, 286, 347, 179, 0.970501, 1, 1, 1, 0.862641, 226, 0, 0, 0, 1, 0, 0
144, 554, 401, 10305540, 6, 367, 35, 179, 120, 21, 1, 1, 1, 0.968081, 0.862519, 226, 1, 0, 0, 0, 0, 1
179, 601, 445, 10305863, 7, 21, 332, 35, 85, 130, 1, 0.570504, 0.646978, 0.5382, 0.323147, 226, 0, 1, 0, 0, 0, 1
35, 683, 398, 10305863, 7, 283, 234, 398, 124, 367, 0.944701, 1, 0.754026, 0.950285, 0.548949, 226, 0, 0, 1, 0, 1, 1
124, 758, 401, 10310063, 8, 111, 283, 398, 367, 306, 0.967573, 0.967438, 1, 1, 1, 226, 0, 1, 1, 1, 1, 0
234, 780, 401, 10310063, 8, 111, 93, 76, 139, 280, 1, 1, 0.865859, 1, 0.60825, 226, 0, 0, 0, 0, 1, 0
367, 787, 401, 10310063, 8, 87, 111, 371, 93, 139, 0.957, 1, 0.765016, 0.971005, 1, 226, 0, 0, 1, 0, 0, 0
398, 787, 401, 10310063, 8, 111, 93, 87, 139, 283, 1, 1, 0.698887, 1, 1, 226, 0, 0, 0, 0, 0, 0
283, 819, 398, 10310064, 8, 111, 245, 127, 93, 139, 0.967573, 0.159548, 0.137197, 1, 1, 226, 0, 1, 1, 0, 0, 1
139, 843, 398, 10310387, 9, 245, 127, 93, 111, 76, 0.612384, 0.322929, 1, 0.752531, 0.794954, 226, 1, 1, 0, 0, 0, 1
93, 882, 398, 10310387, 9, 245, 76, 111, 10000000, 10000000, 0.483855, 0.953945, 0.645026, 0, 0, 226, 1, 0, 0, 1, 1, 1
113, 198, 532, 10313002, 5, 295, 67, 210, 276, 107, 0.189772, 0.971598, 1, 0.968014, 0.644332, 226, 1, 0, 0, 0, 0, 0
222, 198, 564, 10313002, 5, 184, 246, 271, 136, 67, 0.120765, 0.137285, 0.188749, 0.188258, 1, 226, 1, 1, 1, 1, 0, 1
210, 201, 645, 10313002, 5, 55, 107, 67, 10, 295, 0.215129, 0.751721, 0.971598, 0.794944, 0.604154, 226, 1, 0, 0, 0, 0, 1
278, 379, 401, 10313325, 6, 351, 302, 154, 24, 104, 1, 0.970609, 0.159305, 1, 1, 226, 1, 1, 1, 0, 0, 0
395, 401, 412, 10313325, 6, 372, 339, 300, 154, 24, 1, 1, 1, 0.273893, 1, 226, 1, 1, 1, 1, 0, 0
300, 401, 415, 10313325, 6, 24, 104, 166, 115, 217, 0.968776, 1, 1, 0.725672, 1, 226, 0, 0, 0, 0, 0, 1
372, 412, 398, 10313325, 6, 144, 53, 24, 104, 166, 0.941569, 0.951509, 0.962723, 1, 1, 226, 0, 0, 0, 0, 0, 0
166, 445, 398, 10313325, 6, 24, 53, 144, 347, 286, 1, 0.752031, 0.539383, 0.31741, 0.231995, 226, 0, 0, 0, 1, 1, 0
67, 201, 691, 10313403, 6, 324, 246, 295, 107, 178, 0.845026, 0.907871, 0.948789, 0.429536, 0.647502, 226, 1, 0, 0, 1, 0, 0
10, 198, 712, 10313404, 6, 324, 271, 246, 136, 190, 0.970638, 0.860518, 1, 0.645008, 0.967244, 226, 1, 1, 0, 1, 0, 0
