source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id 
243, 181, 201, 10299999, 1, 365, 332, 27, 346, 23, 1, 1, 1, 0.785573, 0.968372, 197, 1, 1, 0, 1, 0
365, 198, 187, 10300200, 2, 472, 458, 27, 23, 13, 1, 1, 1, 0.968351, 0.874363, 197, 1, 1, 0, 0, 0
23, 201, 284, 10300200, 2, 333, 403, 481, 327, 486, 0.920304, 0.915412, 0.90916, 0.794462, 0.754578, 197, 1, 1, 1, 1, 1
27, 277, 198, 10300200, 2, 428, 322, 198, 332, 71, 1, 0.934469, 1, 0.916446, 0.954549, 197, 1, 1, 0, 1, 0
27, 277, 198, 10300640, 3, 428, 322, 198, 332, 71, 1, 0.934373, 1, 0.916323, 0.954482, 197, 1, 1, 0, 1, 0
23, 201, 284, 10300640, 3, 333, 403, 481, 327, 486, 0.92018, 0.915289, 0.909039, 0.794407, 0.754542, 197, 1, 1, 1, 1, 1
13, 198, 315, 10300640, 3, 481, 472, 403, 333, 421, 1, 1, 0.970256, 0.968359, 0.864574, 197, 1, 1, 1, 1, 1
71, 323, 201, 10308840, 4, 117, 485, 389, 322, 439, 1, 1, 1, 1, 0.967323, 197, 0, 1, 1, 1, 1
198, 356, 201, 10308840, 4, 88, 118, 117, 226, 41, 0.970202, 1, 1, 1, 0.862544, 197, 0, 0, 0, 0, 0
332, 387, 201, 10308840, 4, 438, 41, 88, 384, 118, 1, 1, 0.970202, 0.793535, 1, 197, 1, 0, 0, 1, 0
428, 387, 201, 10308840, 4, 218, 41, 384, 88, 118, 1, 1, 0.869339, 0.970202, 1, 197, 0, 0, 1, 0, 0
322, 412, 198, 10308840, 4, 485, 439, 389, 334, 244, 1, 1, 0.970475, 1, 0.968379, 197, 1, 1, 1, 1, 0
118, 401, 245, 10309202, 5, 317, 470, 438, 391, 480, 1, 1, 1, 0.54761, 0.567365, 197, 1, 1, 1, 1, 1
41, 401, 288, 10309202, 5, 391, 218, 324, 438, 317, 0.964391, 0.936154, 0.861182, 0.788302, 0.755809, 197, 1, 0, 1, 1, 1
88, 495, 198, 10309203, 5, 334, 420, 291, 123, 114, 1, 0.845749, 0.7578, 0.844017, 0.241661, 197, 1, 1, 0, 0, 1
327, 198, 387, 10312840, 4, 45, 189, 206, 65, 278, 0.96732, 0.966461, 1, 0.859864, 1, 197, 0, 0, 0, 0, 0
