source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id 
164, 248, -1, 10299999, 1, 7, 143, 62, 275, 98, 1, 0.686519, 0.723336, 0.537692, 0.648189, 51, 0, 0, 0, 1, 0, 1
7, 280, -1, 10300200, 2, 5, 143, 152, 275, 150, 0, 0.8238, 0.645376, 0.645217, 0.611795, 51, 1, 0, 1, 1, 0, 1
62, 319, 1, 10300200, 2, 5, 150, 231, 275, 152, 1, 0.968206, 1, 1, 0.860502, 51, 0, 0, 0, 1, 0, 0
143, 354, 1, 10300200, 2, 181, 5, 152, 150, 48, 0.121034, 1, 1, 1, 0.861637, 51, 1, 0, 0, 0, 0, 0
275, 401, 12, 10300200, 2, 100, 48, 5, 152, 150, 0.939391, 1, 0.968875, 1, 1, 51, 0, 0, 0, 0, 0, 1
143, 354, 1, 10300640, 3, 181, 5, 152, 150, 48, 0.121027, 1, 1, 1, 0.861596, 51, 1, 0, 0, 0, 0, 0
152, 401, 41, 10304840, 4, 237, 48, 280, 100, 132, 0.844158, 1, 0.602807, 0.538945, 0.430588, 51, 0, 0, 1, 0, 0, 0
150, 447, -1, 10304840, 4, 149, 5, 181, 48, 61, 0.21545, 1, 0.725794, 0.753556, 0.752332, 51, 1, 0, 0, 0, 0, 0
152, 401, 41, 10312400, 3, 237, 48, 280, 100, 132, 0.84339, 1, 0.602258, 0.538506, 0.430238, 51, 0, 0, 1, 0, 0, 0
150, 447, -1, 10312400, 3, 149, 5, 181, 48, 61, 0.215275, 1, 0.725131, 0.752943, 0.751721, 51, 1, 0, 0, 0, 0, 0
48, 401, 79, 10312400, 3, 280, 237, 100, 132, 41, 1, 0.946838, 0.86161, 0.645357, 0.362185, 51, 1, 1, 0, 0, 0, 0
100, 398, 114, 10312400, 3, 41, 292, 268, 280, 237, 0.96819, 1, 1, 1, 1, 51, 0, 1, 1, 1, 0, 1
237, 398, 180, 10312724, 4, 41, 88, 112, 221, 292, 1, 0.862084, 0.970113, 1, 1, 51, 0, 0, 0, 0, 1, 0
280, 398, 187, 10312724, 4, 41, 88, 112, 221, 292, 1, 0.862084, 1, 1, 1, 51, 0, 0, 0, 0, 1, 1
292, 412, 198, 10324924, 5, 41, 49, 88, 112, 216, 1, 0.946367, 1, 1, 0.429506, 51, 0, 0, 0, 0, 1, 0
221, 418, 198, 10324924, 5, 266, 88, 41, 112, 216, 0.646493, 1, 0.859455, 1, 0.549218, 51, 1, 0, 0, 0, 1, 0
112, 449, 198, 10324924, 5, 266, 216, 88, 116, 49, 0.633088, 0.549218, 1, 0.724389, 0.794616, 51, 1, 1, 0, 0, 0, 1
41, 401, 287, 10324924, 5, 198, 255, 201, 111, 256, 1, 0.928871, 0.752125, 0.822237, 0.603245, 51, 0, 1, 0, 0, 1, 1
111, 398, 347, 10325247, 6, 104, 255, 198, 256, 201, 1, 1, 1, 1, 1, 51, 0, 1, 0, 1, 0, 0
201, 398, 375, 10325247, 6, 104, 255, 198, 256, 160, 1, 1, 1, 1, 0.859327, 51, 0, 1, 0, 1, 0, 0
256, 398, 387, 10325247, 6, 24, 104, 160, 255, 198, 0.965279, 1, 0.966743, 1, 1, 51, 0, 0, 0, 1, 0, 0
255, 401, 416, 10325247, 6, 24, 104, 79, 148, 160, 0.965279, 1, 0.214477, 0.188382, 0.966743, 51, 0, 0, 1, 1, 0, 1
5, 488, -1, 10328600, 4, 149, 253, 181, 61, 105, 0.159261, 0.841501, 0.752493, 0.790665, 0.482013, 51, 1, 0, 0, 0, 0, 1
61, 515, 1, 10328600, 4, 105, 91, 253, 149, 181, 0.967749, 0.753308, 1, 0.752151, 1, 51, 0, 0, 0, 0, 0, 0
181, 561, 1, 10328601, 4, 149, 91, 105, 253, 188, 1, 0.860923, 0.967749, 1, 0.481173, 51, 0, 0, 0, 0, 0, 0
160, 445, 398, 10329448, 7, 138, 24, 53, 35, 104, 0.905699, 1, 0.754255, 0.4365, 0.751045, 51, 0, 0, 0, 0, 0, 0
104, 401, 467, 10329448, 7, 24, 10000000, 10000000, 10000000, 10000000, 0.643229, 0, 0, 0, 0, 51, 0, 1, 1, 1, 1, 1
61, 515, 1, 10332800, 5, 105, 91, 253, 149, 181, 0.967312, 0.752967, 1, 0.751812, 1, 51, 0, 0, 0, 0, 0, 0
181, 561, 1, 10332801, 5, 149, 91, 105, 253, 188, 1, 0.860534, 0.967312, 1, 0.48093, 51, 0, 0, 0, 0, 0, 0
253, 580, 1, 10332801, 5, 91, 149, 105, 46, 12, 1, 0.966615, 1, 0.793163, 0.475357, 51, 0, 0, 0, 0, 0, 1
105, 674, -1, 10332801, 5, 298, 286, 269, 293, 224, 1, 0.923396, 0.752407, 0.536277, 0.240068, 51, 1, 1, 1, 1, 1, 0
88, 496, 198, 10333124, 6, 266, 216, 102, 131, 116, 0.96044, 0.96005, 0.12056, 0.698181, 0.752476, 51, 1, 0, 1, 0, 0, 0
49, 513, 201, 10333124, 6, 102, 131, 266, 216, 116, 0.969203, 1, 1, 1, 0.967469, 51, 0, 0, 1, 0, 0, 0
116, 553, 201, 10333124, 6, 266, 190, 75, 214, 194, 1, 0.120656, 0.120319, 0.189166, 0.188024, 51, 1, 1, 1, 1, 1, 0
216, 581, 201, 10333124, 6, 266, 209, 270, 194, 86, 1, 0.136641, 0.158917, 0.137288, 0.925992, 51, 1, 1, 1, 1, 0, 0
266, 587, 201, 10333124, 6, 47, 209, 295, 102, 249, 0.926225, 0.301913, 0.188912, 1, 0.300634, 51, 0, 1, 1, 0, 1, 1
102, 677, 198, 10333539, 7, 295, 270, 274, 227, 120, 0.602269, 0.476721, 0.465861, 0.322845, 0.241397, 51, 1, 1, 1, 1, 1, 0
