source_id,source_x,source_y,time,hop,pri_1_id,pri_2_id,pri_3_id,pri_4_id,pri_5_id,pri_1_r,pri_2_r,pri_3_r,pri_4_r,pri_5_r,des_id,inter_1id ,inter_2id ,inter_3id ,inter_4id ,inter_5id 
150, 157, 1, 10299999, 1, 98, 7, 123, 170, 235, 0.968374, 1, 0.970231, 1, 1, 74, 0, 0, 0, 0, 0, 1
235, 201, 18, 10300200, 2, 98, 123, 7, 199, 60, 0.968353, 1, 0.969563, 0.637194, 0.603704, 74, 0, 0, 0, 0, 0, 0
123, 201, 49, 10300200, 2, 132, 98, 263, 60, 199, 0.608921, 1, 0.647427, 0.724445, 0.6044, 74, 0, 0, 0, 0, 0, 1
170, 248, -1, 10300200, 2, 288, 254, 373, 320, 158, 0.413012, 0.319506, 0.241546, 0.215535, 0.189921, 74, 1, 1, 1, 1, 1, 0
7, 280, -1, 10300200, 2, 320, 149, 373, 156, 254, 0.686244, 0.959973, 0.476211, 0.796068, 0.686006, 74, 1, 0, 1, 0, 1, 1
149, 354, 1, 10304400, 3, 105, 338, 291, 155, 373, 0.137636, 0.241248, 0.274384, 0.13772, 1, 74, 1, 1, 1, 1, 1, 1
98, 201, 76, 10308400, 3, 344, 368, 199, 263, 249, 0.912569, 0.758851, 0.845322, 0.754663, 0.647056, 74, 1, 1, 0, 0, 0, 1
60, 198, 105, 10308400, 3, 132, 249, 368, 313, 23, 1, 1, 1, 1, 0.863469, 74, 0, 0, 1, 1, 0, 0
199, 198, 153, 10308400, 3, 23, 132, 249, 368, 313, 0.971403, 1, 1, 1, 1, 74, 0, 0, 0, 1, 1, 0
263, 198, 179, 10308400, 3, 13, 193, 23, 132, 159, 1, 0.885022, 0.971403, 1, 0.969437, 74, 0, 0, 0, 0, 0, 1
373, 401, 12, 10308600, 4, 48, 100, 158, 378, 5, 1, 0.754053, 1, 0.569234, 0.968087, 74, 0, 0, 0, 1, 0, 1
199, 198, 153, 10312600, 4, 23, 132, 249, 368, 313, 0.970962, 1, 1, 1, 1, 74, 0, 0, 0, 1, 1, 0
344, 198, 187, 10312600, 4, 363, 366, 13, 27, 132, 1, 1, 0.943702, 0.97135, 1, 74, 1, 1, 0, 0, 0, 1
132, 201, 245, 10312923, 5, 299, 305, 193, 23, 229, 0.872508, 0.755877, 0.795118, 1, 0.722767, 74, 0, 1, 0, 0, 0, 0
27, 278, 198, 10312923, 5, 244, 356, 314, 310, 118, 0.608152, 0.569321, 0.466424, 0.549236, 0.159613, 74, 1, 1, 1, 1, 1, 1
132, 201, 245, 10316600, 4, 299, 305, 193, 23, 229, 0.87111, 0.755352, 0.794653, 1, 0.722447, 74, 0, 1, 0, 0, 0, 0
23, 201, 285, 10316601, 4, 363, 305, 386, 366, 399, 0.927551, 0.858946, 0.68577, 0.645352, 0.537811, 74, 1, 1, 1, 1, 1, 0
13, 198, 315, 10316601, 4, 205, 336, 299, 262, 363, 1, 0.860142, 1, 0.754717, 1, 74, 0, 1, 0, 1, 1, 1
363, 201, 412, 10317028, 5, 222, 65, 188, 205, 113, 0.860592, 1, 1, 1, 0.687724, 74, 0, 0, 0, 0, 0, 0
299, 201, 419, 10317028, 5, 67, 65, 188, 205, 45, 0.12067, 1, 1, 1, 0.754275, 74, 1, 0, 0, 0, 0, 1
158, 401, 41, 10324800, 5, 378, 138, 48, 100, 260, 1, 0.842175, 1, 0.75274, 0.536792, 74, 1, 0, 0, 0, 0, 0
48, 401, 79, 10324801, 5, 325, 260, 138, 100, 378, 0.940817, 0.858867, 0.86006, 1, 0.546734, 74, 1, 0, 0, 0, 1, 1
100, 398, 115, 10324801, 5, 41, 118, 356, 314, 378, 0.968335, 1, 1, 1, 1, 74, 0, 0, 1, 1, 1, 0
314, 412, 198, 10325124, 6, 312, 380, 41, 137, 88, 1, 0.904088, 1, 0.159247, 0.965565, 74, 1, 1, 0, 1, 0, 0
356, 412, 198, 10325124, 6, 41, 312, 380, 122, 118, 1, 0.429575, 0.362495, 0.12065, 1, 74, 0, 1, 1, 1, 0, 0
244, 418, 198, 10325124, 6, 312, 239, 380, 41, 88, 0.480773, 0.360957, 0.241663, 0.860713, 1, 74, 1, 1, 1, 0, 0, 1
100, 398, 115, 10325150, 6, 41, 118, 356, 314, 378, 0.968299, 1, 1, 1, 1, 74, 0, 0, 1, 1, 1, 0
138, 398, 156, 10325150, 6, 41, 118, 356, 314, 244, 1, 1, 1, 1, 0.970115, 74, 0, 0, 1, 1, 0, 0
260, 398, 178, 10325150, 6, 41, 116, 118, 117, 88, 1, 0.877617, 1, 0.967223, 0.858277, 74, 0, 0, 0, 0, 0, 0
325, 398, 187, 10325150, 6, 41, 351, 118, 117, 88, 1, 0.759985, 1, 1, 0.858277, 74, 0, 1, 0, 0, 0, 1
378, 398, 187, 10325150, 6, 41, 118, 117, 88, 356, 1, 1, 1, 0.750993, 1, 74, 0, 0, 0, 0, 1, 0
205, 201, 446, 10325228, 6, 210, 65, 222, 113, 45, 0.770768, 1, 0.752354, 0.601711, 0.538293, 74, 0, 0, 0, 0, 0, 0
188, 248, 398, 10325228, 6, 372, 278, 45, 335, 168, 1, 0.794479, 0.968927, 0.645902, 0.646705, 74, 1, 0, 0, 1, 0, 1
65, 201, 486, 10325228, 6, 210, 276, 222, 113, 67, 0.755135, 0.693807, 0.633176, 0.722053, 0.241102, 74, 0, 0, 0, 0, 1, 1
88, 495, 198, 10325473, 7, 380, 312, 287, 137, 239, 0.858151, 0.841318, 0.605471, 0.79619, 0.755107, 74, 1, 1, 1, 0, 0, 0
239, 581, 201, 10325473, 7, 380, 312, 250, 232, 209, 1, 1, 0.763822, 0.232118, 0.188913, 74, 1, 1, 1, 1, 1, 0
312, 587, 201, 10325473, 7, 286, 206, 114, 86, 102, 1, 1, 0.861955, 1, 1, 74, 0, 0, 0, 0, 0, 1
380, 587, 201, 10325473, 7, 385, 47, 319, 389, 350, 0.779084, 0.869055, 0.761647, 0.301436, 0.475363, 74, 1, 0, 1, 1, 1, 0
117, 449, 198, 10325770, 7, 380, 102, 312, 88, 137, 0.604111, 0.120399, 0.429545, 1, 0.604236, 74, 1, 1, 1, 0, 0, 1
118, 401, 245, 10325770, 7, 104, 388, 381, 300, 41, 1, 1, 1, 0.863345, 1, 74, 0, 1, 1, 1, 0, 0
41, 401, 288, 10325770, 7, 104, 395, 388, 116, 302, 1, 1, 0.927742, 0.953526, 0.753907, 74, 0, 1, 1, 0, 1, 1
114, 601, 262, 10325914, 8, 47, 206, 286, 290, 347, 1, 0.757932, 0.549334, 0.536669, 0.316777, 74, 0, 0, 0, 0, 1, 1
102, 677, 198, 10325914, 8, 316, 385, 345, 359, 389, 1, 0.903443, 0.964938, 0.68359, 0.602594, 74, 1, 1, 1, 1, 1, 0
116, 398, 347, 10326094, 8, 104, 217, 300, 395, 388, 1, 1, 1, 1, 1, 74, 0, 0, 1, 1, 1, 0
302, 398, 387, 10326094, 8, 104, 166, 217, 24, 300, 0.969234, 1, 1, 0.859952, 1, 74, 0, 0, 0, 0, 1, 0
388, 401, 412, 10326094, 8, 300, 104, 24, 115, 154, 1, 0.969234, 1, 0.754137, 0.568426, 74, 1, 0, 0, 0, 0, 0
395, 401, 412, 10326094, 8, 300, 104, 24, 115, 166, 1, 0.969234, 1, 0.724553, 1, 74, 1, 0, 0, 0, 0, 1
113, 198, 532, 10329428, 7, 67, 210, 295, 276, 222, 0.969878, 1, 0.189183, 0.966307, 1, 74, 0, 0, 1, 0, 0, 0
222, 198, 564, 10329428, 7, 67, 184, 178, 246, 271, 1, 0.120526, 0.876679, 0.136976, 0.188165, 74, 0, 1, 0, 1, 1, 0
276, 201, 618, 10329429, 7, 107, 324, 67, 210, 10, 0.964797, 0.30408, 0.969878, 0.965813, 0.548445, 74, 0, 1, 0, 0, 0, 1
