source_x,source_y,recv_x,recv_y,time,recv_priority,hopcount,recv_id,source_id,destination_id,
931, 1798, 962, 1798, 10000200, 1, 1, 128, 271, 402, 1498, 885
931, 1798, 898, 1763, 10000200, 2, 1, 194, 271, 402, 1498, 885
931, 1798, 898, 1720, 10000200, 0, 1, 2, 271, 402, 1498, 885
1201, 321, 1201, 353, 11000200, 0, 1, 241, 391, 334, 1468, 1801
2028, 301, 1998, 301, 12000200, 2, 1, 1, 261, 146, 1726, 1201
2028, 301, 2101, 361, 12000200, 1, 1, 192, 261, 146, 1726, 1201
2101, 361, 2101, 406, 12004790, 1, 2, 12, 192, 146, 1726, 1201
2101, 406, 2098, 537, 12010227, 0, 3, 249, 12, 146, 1726, 1201
2098, 537, 2098, 568, 12010498, 2, 4, 396, 249, 146, 1726, 1201
2098, 537, 2101, 678, 12010498, 0, 4, 160, 249, 146, 1726, 1201
2101, 678, 2098, 805, 12010899, 1, 5, 106, 160, 146, 1726, 1201
2101, 678, 2098, 840, 12010900, 0, 5, 282, 160, 146, 1726, 1201
2098, 840, 2101, 926, 12011249, 4, 6, 468, 282, 146, 1726, 1201
2098, 840, 2101, 952, 12011249, 1, 6, 300, 282, 146, 1726, 1201
2098, 840, 2101, 1000, 12011249, 0, 6, 16, 282, 146, 1726, 1201
2101, 952, 2101, 1001, 12015449, 1, 7, 16, 300, 146, 1726, 1201
2101, 952, 2053, 901, 12015449, 2, 7, 326, 300, 146, 1726, 1201
2101, 952, 2015, 901, 12015449, 0, 7, 150, 300, 146, 1726, 1201
2015, 901, 1903, 898, 12015890, 0, 8, 77, 150, 146, 1726, 1201
1903, 898, 1801, 912, 12016330, 4, 9, 534, 77, 146, 1726, 1201
1903, 898, 1801, 912, 12016330, 3, 9, 576, 77, 146, 1726, 1201
1903, 898, 1801, 925, 12016330, 2, 9, 457, 77, 146, 1726, 1201
1903, 898, 1801, 949, 12016330, 0, 9, 302, 77, 146, 1726, 1201
1903, 898, 1801, 986, 12016330, 1, 9, 94, 77, 146, 1726, 1201
1801, 949, 1801, 986, 12016731, 0, 10, 94, 302, 146, 1726, 1201
1801, 986, 1798, 1125, 12016990, 0, 11, 154, 94, 146, 1726, 1201
1798, 1125, 1798, 1156, 12017378, 3, 12, 353, 154, 146, 1726, 1201
1798, 1125, 1781, 1201, 12017378, 2, 12, 473, 154, 146, 1726, 1201
1798, 1125, 1759, 1201, 12017378, 1, 12, 332, 154, 146, 1726, 1201
1798, 1125, 1725, 1201, 12017378, 146, 12, 146, 154, 146, 1726, 1201
1759, 1201, 1725, 1201, 12021803, 146, 13, 146, 332, 146, 1726, 1201
1498, 1116, 1498, 1092, 13000200, 1, 1, 78, 258, 278, 901, 359
1498, 1116, 1501, 1014, 13000200, 0, 1, 99, 258, 278, 901, 359
1501, 1014, 1498, 859, 13000614, 3, 2, 402, 99, 278, 901, 359
1498, 859, 1498, 811, 13012815, 2, 3, 228, 402, 278, 901, 359
1498, 859, 1498, 785, 13012815, 1, 3, 82, 402, 278, 901, 359
1498, 859, 1501, 707, 13012815, 0, 3, 91, 402, 278, 901, 359
1501, 707, 1480, 601, 13013268, 4, 4, 500, 91, 278, 901, 359
1501, 707, 1454, 601, 13013268, 2, 4, 377, 91, 278, 901, 359
1501, 707, 1412, 601, 13013268, 1, 4, 184, 91, 278, 901, 359
1501, 707, 1387, 601, 13013268, 0, 4, 59, 91, 278, 901, 359
1387, 601, 1249, 598, 13013618, 4, 5, 357, 59, 278, 901, 359
1387, 601, 1198, 585, 13013618, 3, 5, 527, 59, 278, 901, 359
1198, 585, 1198, 567, 13025818, 4, 6, 439, 527, 278, 901, 359
1198, 585, 1198, 535, 13025818, 2, 6, 289, 527, 278, 901, 359
1198, 535, 1198, 487, 13034018, 1, 7, 138, 289, 278, 901, 359
1198, 487, 1201, 376, 13038219, 1, 8, 241, 138, 278, 901, 359
1198, 487, 1201, 336, 13038219, 4, 8, 391, 138, 278, 901, 359
1198, 487, 1102, 301, 13038219, 3, 8, 122, 138, 278, 901, 359
1201, 376, 1201, 336, 13042419, 4, 9, 391, 241, 278, 901, 359
1201, 376, 1185, 301, 13042419, 3, 9, 537, 241, 278, 901, 359
1201, 376, 1167, 301, 13042419, 2, 9, 446, 241, 278, 901, 359
1201, 376, 1136, 301, 13042419, 1, 9, 284, 241, 278, 901, 359
1201, 376, 1102, 301, 13042419, 0, 9, 122, 241, 278, 901, 359
1102, 301, 1017, 298, 13042872, 3, 10, 21, 122, 278, 901, 359
1102, 301, 990, 298, 13042872, 1, 10, 260, 122, 278, 901, 359
990, 298, 901, 333, 13047073, 2, 11, 465, 260, 278, 901, 359
990, 298, 885, 301, 13047073, 3, 11, 538, 260, 278, 901, 359
990, 298, 901, 372, 13047073, 278, 11, 278, 260, 278, 901, 359
901, 396, 901, 372, 13051273, 278, 12, 278, 133, 278, 901, 359
901, 334, 901, 372, 13055473, 278, 13, 278, 465, 278, 901, 359
901, 1592, 912, 1498, 14000200, 2, 1, 570, 205, 398, 859, 601
901, 1592, 921, 1498, 14000200, 3, 1, 511, 205, 398, 859, 601
901, 1592, 867, 1501, 14000200, 4, 1, 481, 205, 398, 859, 601
912, 1498, 921, 1498, 14008400, 4, 2, 511, 570, 398, 859, 601
912, 1498, 898, 1439, 14008400, 2, 2, 367, 570, 398, 859, 601
912, 1498, 898, 1409, 14008400, 1, 2, 252, 570, 398, 859, 601
