SIGO,PDR,,,,,,,,,,,,,,,,,,,,,,
0.0265885,0.042447,0.0352841,33330,,,,,,,,,,,,,,,,,,,,
0.0332324,0.021015571,0.029169778,40000,,,,,,,,,,,,,,,,,,,,
0.033354667,0.029745,0.040056444,44000,,,,,,,,,,,,,,,,,,,,
0.034779667,0.033335,0.041861111,44400,,,,,,,,,,,,,,,,,,,,
0.02448,0.029266625,0.037282667,44440,,,,,,,,,,,,,,,,,,,,
0.030352857,0.036425,0.038781889,50000,,,,,,,,,,,,,,,,,,,,
0.04081475,0.032711857,0.04869,55000,,,,,,,,,,,,,,,,,,,,
0.035856,0.029184875,0.034253333,55500,,,,,,,,,,,,,,,,,,,,
0.040162833,0.046765,0.0383131,55550,,,,,,,,,,,,,,,,,,,,
0.030057,0.036902857,0.0387401,60000,,,,,,,,,,,,,,,,,,,,
0.032429286,0.032126333,0.036903857,66000,,,,,,,,,,,,,,,,,,,,
0.041789,0.03146425,0.027616667,66600,,,,,,,,,,,,,,,,,,,,
0.04865275,0.030627556,0.041095125,66660,,,,,,,,,,,,,,,,,,,,
0.0406505,0.0414815,0.042713778,70000,,,,,,,,,,,,,,,,,,,,
0.035574,0.023644375,0.026199625,77000,,,,,,,,,,,,,,,,,,,,
0.0374076,0.032759556,0.04184125,77700,,,,,,,,,,,,,,,,,,,,
0.035166667,0.0394638,0.042389444,77770,,,,,,,,,,,,,,,,,,,,
0.028802,0.037750571,0.036870714,80000,,,,,,,,,,,,,,,,,,,,
0.0333075,0.029728571,0.037835375,88000,,,,,,,,,,,,,,,,,,,,
0.0387574,0.0287755,0.041225667,88800,,,,,,,,,,,,,,,,,,,,
0.0295784,0.029811778,0.021859333,88880,,,,,,,,,,,,,,,,,,,,
0.027638,0.025819714,0.036512444,90000,,,,,,,,,,,,,,,,,,,,
0.0403486,0.0312284,0.037603375,99000,,,,,,,,,,,,,,,,,,,,
0.034873833,0.039197286,0.032485429,99900,,,,,,,,,,,,,,,,,,,,
0.000458563,0.000513371,0.000463399,,,,,,,,,,,,,,,,,,,,,
