SIGO,PDR,,,,LSGO,PDR,,,SIGO- LSGO,,
SIGO,delay,,,,,,,,,,
200,300,400,seed,,,,,,,,
0.043415,0.027730833,0.032623,10001,,,,,,,,
0.034097,0.018572833,0.03629475,10002,,,,,,,,
0.015363,0.028026667,0.045842143,10003,,,,,,,,
0.040957,0.028670667,0.03398075,10004,,,,,,,,
0.0156615,0.01770575,0.031200625,10005,,,,,,,,
0.039102,0.0180875,0.0435315,10006,,,,,,,,
0.033609667,0.031979,0.038766125,10007,,,,,,,,
0.054693,0.031571333,0.038315556,10008,,,,,,,,
0.02800975,0.0194635,0.032527571,10009,,,,,,,,
0.033618,0.021269714,0.030871571,10010,,,,,,,,
0.0450645,0.029537375,0.038161667,10011,,,,,,,,
0.0387615,0.035991667,0.035394,10012,,,,,,,,
0.042366,0.0360222,0.035843222,10013,,,,,,,,
0.034582,0.020587333,0.029580556,10014,,,,,,,,
0.0243,0.0273542,0.038701889,10015,,,,,,,,
0.007973,0.033006167,0.033642444,10016,,,,,,,,
0.015034,0.0186545,0.0334885,10017,,,,,,,,
0.030457667,0.024154333,0.0401852,10018,,,,,,,,
0.023918333,0.03016925,0.039200571,10019,,,,,,,,
0.0310305,0.030065,0.033725556,10020,,,,,,,,
0.037868667,0.0323275,0.033252714,10021,,,,,,,,
0.020876,0.036759857,0.0343949,10022,,,,,,,,
0.035735,0.02601225,0.03051525,10023,,,,,,,,
0.036714,0.0325034,0.038540556,10024,,,,,,,,
0.0292975,0.0299875,0.03987625,10025,,,,,,,,
0.036278,0.0305044,0.033763333,10026,,,,,,,,
0.035439,0.026708143,0.030028111,10027,,,,,,,,
0.023226667,0.0433842,0.03962675,10028,,,,,,,,
0.0369485,0.028817429,0.037146125,10029,,,,,,,,
0.03142,0.035591429,0.042393778,10030,,,,,,,,
0.049647,0.029529,0.03884025,10031,,,,,,,,
0.021910667,0.030361,0.031814,10032,,,,,,,,
0.01901,0.0359666,0.033452333,10033,,,,,,,,
0.0329835,0.0231004,0.030089,10034,,,,,,,,
0.037607333,0.0306054,0.04168375,10035,,,,,,,,
0.0363345,0.0268502,0.039331625,10036,,,,,,,,
0.0223055,0.023783,0.033061,10037,,,,,,,,
0.008064,0.0277585,0.0420715,10038,,,,,,,,
0.029598,0.033628286,0.0424575,10039,,,,,,,,
0.0360775,0.027150333,0.042285889,10040,,,,,,,,
0.038453,0.022343,0.037456,10041,,,,,,,,
0.026175,0.0370234,0.037166,10042,,,,,,,,
0.034333,0.030448,0.036249875,10043,,,,,,,,
0.03029,0.0161565,0.034611625,10044,,,,,,,,
0.020956667,0.031321,0.032519167,10045,,,,,,,,
0.02999025,0.028981714,0.045919429,10046,,,,,,,,
0.054611667,0.039101167,0.044356286,10047,,,,,,,,
0.0305035,0.027320667,0.0408463,10048,,,,,,,,
0.032009,0.0286815,0.038842556,10049,,,,,,,,
,,,,,,,,,,,
LSGO,delay,,,,,,,,,,
200,300,400,seed,,,,,,,,
0.040311333,0.022018429,0.0296308,10001,,,,,,,,
0.025776,0.019129,0.030614625,10002,,,,,,,,
0.028032,0.033093,0.037842286,10003,,,,,,,,
0.044703333,0.017432,0.041179167,10004,,,,,,,,
0.0446155,0.0295828,0.037421111,10005,,,,,,,,
0.04228525,0.02459425,0.0324445,10006,,,,,,,,
0.0239205,0.035919667,0.033156111,10007,,,,,,,,
0.0373565,0.033827,0.039797444,10008,,,,,,,,
0.044979333,0.0332438,0.036099625,10009,,,,,,,,
0.033511,0.029728429,0.0273424,10010,,,,,,,,
0.0422805,0.033968556,0.036915667,10011,,,,,,,,
0.030865,0.018127,0.03782275,10012,,,,,,,,
0.036074333,0.024112667,0.039968444,10013,,,,,,,,
0.025479,0.0299835,0.034095714,10014,,,,,,,,
0.041449,0.01981,0.032418111,10015,,,,,,,,
0.036856,0.0257515,0.035668667,10016,,,,,,,,
0,0.030871833,0.034926111,10017,,,,,,,,
0.037931,0.0478295,0.032459857,10018,,,,,,,,
0.023662,0.019939,0.0314098,10019,,,,,,,,
0.0350305,0.01414425,0.035222625,10020,,,,,,,,
0.033099,0.042280667,0.046924714,10021,,,,,,,,
0.042751,0.027464667,0.039079125,10022,,,,,,,,
0.0270685,0.0241175,0.02951525,10023,,,,,,,,
0.03578175,0.042713714,0.043768444,10024,,,,,,,,
0.029216,0.0426234,0.042405286,10025,,,,,,,,
0.039983,0.034110667,0.036155,10026,,,,,,,,
0.017238,0.028044167,0.035863125,10027,,,,,,,,
0.027621,0.026291667,0.0319879,10028,,,,,,,,
0.035951333,0.0274626,0.036312714,10029,,,,,,,,
0.04403825,0.0308596,0.0368964,10030,,,,,,,,
0.058454,0.01712575,0.033060556,10031,,,,,,,,
0.03544,0.02728625,0.0343434,10032,,,,,,,,
0.022543,0.0262732,0.034196833,10033,,,,,,,,
0.032984,0.038990714,0.036257286,10034,,,,,,,,
0.026779,0.020929,0.034588125,10035,,,,,,,,
0.032026,0.05217325,0.037819667,10036,,,,,,,,
0.036087667,0.02106625,0.044059167,10037,,,,,,,,
0.028740667,0.035532167,0.038755714,10038,,,,,,,,
0.017255,0.025253286,0.0394835,10039,,,,,,,,
0.044308,0.028036833,0.041616667,10040,,,,,,,,
0.037708,0.01346725,0.026540167,10041,,,,,,,,
0.019614,0.0475955,0.035595875,10042,,,,,,,,
0.0258805,0.030523333,0.03221075,10043,,,,,,,,
0.054291,0.01626875,0.03294825,10044,,,,,,,,
0.029102333,0.042398,0.0363025,10045,,,,,,,,
0.026835,0.02228125,0.03818925,10046,,,,,,,,
0.036092,0.0335208,0.0466065,10047,,,,,,,,
0.0200515,0.0336414,0.036587,10048,,,,,,,,
0.0487665,0.027357,0.0379218,10049,,,,,,,,
,,,,,,,,,,,
SIGO,Overhead,,,,,,,,,,
200,300,400,seed,,,,,,,,
37.75,23.33333333,19.875,10001,,,,,,,,
36,24,27.125,10002,,,,,,,,
75,18.66666667,27.57142857,10003,,,,,,,,
48.33333333,23.5,32.875,10004,,,,,,,,
37.5,29.5,29,10005,,,,,,,,
43,32.5,31,10006,,,,,,,,
50,24,33.875,10007,,,,,,,,
149,19.33333333,22.88888889,10008,,,,,,,,
38,28.5,28.57142857,10009,,,,,,,,
51.66666667,23.42857143,18.28571429,10010,,,,,,,,
71,16.75,31.16666667,10011,,,,,,,,
32.75,21,26.625,10012,,,,,,,,
54.66666667,32.6,23.44444444,10013,,,,,,,,
123,58,19.66666667,10014,,,,,,,,
75,25.4,23.77777778,10015,,,,,,,,
135,27.66666667,22.44444444,10016,,,,,,,,
102,29.75,25.125,10017,,,,,,,,
29,30.33333333,40.4,10018,,,,,,,,
24,32,26.71428571,10019,,,,,,,,
76.5,27,26.33333333,10020,,,,,,,,
31,39,27.14285714,10021,,,,,,,,
113,20.85714286,25.7,10022,,,,,,,,
33.66666667,30.75,24,10023,,,,,,,,
50.5,23.6,27.44444444,10024,,,,,,,,
60,27.16666667,29.5,10025,,,,,,,,
85,26.2,30.66666667,10026,,,,,,,,
59,21.14285714,20.44444444,10027,,,,,,,,
42,42,29.875,10028,,,,,,,,
49,22.28571429,25.5,10029,,,,,,,,
68,17.14285714,22.66666667,10030,,,,,,,,
68,27.75,26.875,10031,,,,,,,,
45,25.14285714,23,10032,,,,,,,,
137,23.4,20.33333333,10033,,,,,,,,
60.5,26,24.33333333,10034,,,,,,,,
33,33.2,25.125,10035,,,,,,,,
28.5,26,26.5,10036,,,,,,,,
37.5,26,25.875,10037,,,,,,,,
93,37.5,22.875,10038,,,,,,,,
27.5,26.85714286,33.375,10039,,,,,,,,
45.5,26.83333333,22.44444444,10040,,,,,,,,
90,35.5,23.375,10041,,,,,,,,
35.33333333,34.8,25.25,10042,,,,,,,,
97,25.5,19.625,10043,,,,,,,,
123,28.5,34.25,10044,,,,,,,,
27.66666667,19.83333333,25.5,10045,,,,,,,,
33,20,40.57142857,10046,,,,,,,,
46.66666667,28.33333333,24.14285714,10047,,,,,,,,
53.5,18.66666667,19.8,10048,,,,,,,,
51.66666667,39,18.66666667,10049,,,,,,,,
,,,,,,,,,,,
LSGO,Overhead,,,,,,,,,,
200,300,400,seed,,,,,,,,
40.66666667,26.42857143,25.6,10001,,,,,,,,
74,67,18.5,10002,,,,,,,,
72,17,30,10003,,,,,,,,
50.66666667,60,30.16666667,10004,,,,,,,,
46,27.8,22.55555556,10005,,,,,,,,
31.5,43.5,27.33333333,10006,,,,,,,,
56,22.83333333,24.88888889,10007,,,,,,,,
83,19.14285714,25.11111111,10008,,,,,,,,
44,24.4,24.875,10009,,,,,,,,
44.33333333,26,32.8,10010,,,,,,,,
64,18.55555556,27,10011,,,,,,,,
79,23.4,21.875,10012,,,,,,,,
46.33333333,55.66666667,21.66666667,10013,,,,,,,,
77,21.5,25,10014,,,,,,,,
51.33333333,30.75,24.55555556,10015,,,,,,,,
