
LSGO,PDR
200,300,400,seed
0.6,10001
0.7,10002
0.6,10003
0.8,10004
0.8,10005
0.8,10006
0.7,10007
0.7,10008
0.7,10009
0.8,10010
0.7,10011
0.9,10012
1.0,10013
0.8,10014
0.9,10015
0.7,10016
1.0,10017
0.9,10018
0.8,10019
0.8,10020
0.5,10021
0.8,10022
0.6,10023
0.8,10024
0.8,10025
0.9,10026
1.0,10027
0.9,10028
0.5,10029
0.7,10030
0.8,10031
0.8,10032
1.0,10033
0.9,10034
0.7,10035
0.9,10036
0.7,10037
0.7,10038
0.8,10039
0.8,10040
0.8,10041
0.9,10042
0.8,10043
0.9,10044
0.9,10045
0.8,10046
0.7,10047
0.8,10048
0.9,10049
0.9,10051
0.7,10052
0.7,10053
0.8,10054
0.7,10055
0.8,10056
0.9,10057
0.8,10058
0.8,10059
0.6,10060
0.9,10061
1.0,10062
0.9,10063
1.0,10064
0.7,10065
0.7,10066
0.6,10067
0.7,10068
0.6,10069
0.9,10070
0.9,10071
0.8,10072
1.0,10073
0.8,10074
0.9,10075
0.9,10076
0.7,10077
0.7,10078
0.8,10079
0.9,10080
0.7,10081
0.8,10082
0.8,10083
0.8,10084
0.8,10085
0.6,10086
0.8,10087
0.7,10088
0.8,10089
0.8,10090
0.9,10091
0.7,10092
0.8,10093
0.6,10094
0.7,10095
1.0,10096
0.8,10097
0.8,10098
0.9,10099
0.8,10101
0.9,10102
0.8,10103
0.6,10104
0.7,10105
0.6,10106
0.8,10107
0.8,10108
0.7,10109
0.8,10110
0.6,10111
0.8,10112
0.8,10113
0.7,10114
0.8,10115
0.5,10116
0.7,10117
0.9,10118
0.9,10119
0.8,10120
0.7,10121
0.7,10122
0.8,10123
0.8,10124
0.9,10125
0.7,10126
0.7,10127
0.9,10128
0.7,10129
0.8,10130
0.6,10131
0.9,10132
0.7,10133
0.7,10134
0.9,10135
0.8,10136
0.7,10137
0.7,10138
0.8,10139
0.7,10140
0.4,10141
0.7,10142
0.8,10143
0.9,10144
0.9,10145
0.7,10146
1.0,10147
0.7,10148
0.9,10149
0.8,10150
0.9,10151
0.6,10152
0.8,10153
0.7,10154
1.0,10155
0.8,10156
0.7,10157
0.7,10158
0.8,10159
0.7,10160
0.9,10161
1.0,10162
0.9,10163
0.8,10164
0.5,10165
0.8,10166
0.9,10167
0.8,10168
0.9,10169
0.8,10170
0.8,10171
0.7,10172
0.8,10173
0.6,10174
0.7,10175
0.6,10176
0.8,10177
0.8,10178
0.7,10179
0.7,10180
0.9,10181
1.0,10182
0.6,10183
0.8,10184
0.9,10185
0.6,10186
1.0,10187
0.7,10188
0.6,10189
0.9,10190
0.9,10191
0.6,10192
0.8,10193
0.9,10194
0.9,10195
0.9,10196
0.6,10197
0.7,10198
0.7,10199

LSGO,delay
200,300,400,seed
0.02535883333333333,10001
0.030046142857142858,10002
0.03013566666666667,10003
0.036099,10004
0.024865125000000002,10005
0.03743975,10006
0.03171614285714286,10007
0.028396428571428572,10008
0.029980999999999997,10009
0.031552625,10010
0.020064142857142857,10011
0.02707966666666667,10012
0.0296895,10013
0.027885,10014
0.03370355555555556,10015
0.02251014285714286,10016
0.0225784,10017
0.024693777777777776,10018
0.033854125,10019
0.028683375,10020
0.0282028,10021
0.023961875,10022
0.02278266666666667,10023
0.0323745,10024
0.027552125,10025
0.02838322222222222,10026
0.0289651,10027
0.024378555555555556,10028
0.031159199999999998,10029
0.03238085714285714,10030
0.02813025,10031
0.024226625,10032
0.0312606,10033
0.026459333333333335,10034
0.02809642857142857,10035
0.039885111111111114,10036
0.03550385714285715,10037
0.028982857142857144,10038
0.024018875,10039
