seed,source_id,PDR,geocast_packets,flooding_packets,mr_nodes,mr_recvs
10069, 230, 1, 14, 79, 47, 47
10069, 8, 1, 24, 74, 47, 47
10069, 150, 0.525, 22, 38, 40, 21
10069, 29, 0, 5, 0, 40, 0
10069, 23, 0, 5, 0, 40, 0
10069, 11, 0, 7, 0, 35, 0
10069, 60, 0, 64, 0, 35, 0
10069, 153, 1, 28, 73, 42, 42
10069, 216, 1, 7, 72, 42, 42
10069, 284, 1, 11, 82, 44, 44
