seed,source_id,PDR,geocast_packets,flooding_packets,mr_nodes,mr_recvs
10079, 123, 0, 23, 0, 36, 0
10079, 212, 0, 14, 0, 29, 0
10079, 247, 0.551724, 23, 30, 29, 16
10079, 7, 0, 17, 0, 29, 0
10079, 226, 0, 4, 0, 26, 0
10079, 56, 0, 16, 0, 26, 0
10079, 117, 0, 7, 0, 30, 0
10079, 147, 0, 19, 0, 32, 0
10079, 98, 1, 22, 50, 30, 30
10079, 278, 1, 17, 61, 32, 32
