SIGO,PDR,,
300,400,500,seed
0.7,0.7,0.9,11112
0.1,0.9,0.9,11113
0.5,0.6,0.8,11114
0.3,0.5,1,11115
0.3,0.5,0.8,11116
0.5,0.7,1,11117
0.7,0.7,1,11118
0.4,0.8,0.9,11119
0.5,0.9,0.9,20000
0.4,0.7,0.9,22000
0.4,0.8,0.8,22200
0.5,0.7,0.9,22220
0.5,0.7,1,22221
0.7,0.8,0.7,22222
0.5,0.9,0.9,22223
0.5,0.9,0.9,22224
0.8,0.6,0.8,22225
0.6,0.6,1,22226
0.4,0.6,0.8,22227
0.6,0.7,0.8,22228
0.4,0.6,0.9,22229
0.4,0.9,0.8,30000
0.5,0.5,0.8,33000
0.3,0.5,0.9,33300
0.5,0.7,0.9,33330
0.5,0.8,1,33331
0.3,0.8,0.8,33332
0.6,0.6,0.8,33333
0.4,0.7,0.9,33334
0.4,0.7,1,33335
0.4,0.7,0.9,33336
0.4,0.9,0.9,33337
0.5,0.7,0.8,33338
0.6,0.9,0.8,33339
0.4,0.8,0.8,40000
0.5,0.8,0.6,44000
0.5,0.8,0.8,44400
0.5,0.7,0.9,44440
0.5,0.4,0.9,44444
0.6,0.7,0.9,50000
0.5,0.8,0.9,55000
0.5,0.8,0.8,55500
0.8,0.5,0.9,55550
0.4,0.8,0.8,55555
0.3,0.9,0.9,60000
0.7,0.9,0.9,66000
0.6,0.7,0.8,66600
0.3,0.9,1,66660
0.7,0.7,1,66666
0.4,0.8,0.9,70000
0.7,0.8,0.8,77000
0.4,0.8,0.9,77700
0.7,0.6,0.6,77770
0.5,0.7,0.9,77777
0.3,0.7,0.8,80000
0.7,0.7,0.9,88000
0.6,0.6,0.9,88800
0.6,0.6,0.8,88880
0.6,0.9,0.8,88888
0.5,0.7,0.9,90000
0.4,0.7,0.7,99000
0.5,0.9,0.7,99900
0.5,0.7,0.8,99999
,,,
SIGO,delay,,
300,400,500,seed
0.0299135,0.044647286,0.030797778,10000
0.02922425,0.035633625,0.0328141,11000
0.041111714,0.037973889,0.040254,11100
0.0320825,0.0367195,0.038474889,11110
0.02054125,0.0420795,0.037611333,11111
0.0249212,0.035479571,0.034036222,11112
0.03145275,0.0430475,0.0329784,11113
0.028886,0.038592167,0.034421889,11114
0.033704,0.039947625,0.0345708,11115
0.046352429,0.033193,0.032687333,11116
0.0343365,0.04549625,0.0347006,11117
0.027923167,0.043298222,0.033986444,11118
0.0251735,0.0249602,0.0436444,11119
0.047187,0.026038429,0.043163,20000
0.033779,0.029872,0.0292607,22000
0.0415984,0.04223,0.030001125,22200
0.0392435,0.036442143,0.0317291,22220
0.037353333,0.029627625,0.034203778,22221
0.032643857,0.03705525,0.0392662,22222
0.040429,0.041822143,0.031730125,22223
0.0291055,0.03560775,0.03994075,22224
0.026525,0.029873625,0.039148111,22225
0.0323765,0.037674,0.0358325,22226
0.033034,0.0485285,0.036210429,22227
0.0347844,0.034771571,0.049747444,22228
0.0365784,0.04159825,0.0459483,22229
0.0378384,0.037327111,0.02942425,30000
0.031394667,0.035295857,0.043326778,33000
0.045949,0.044438167,0.030660444,33300
0.030421167,0.036813667,0.036851222,33330
0.0276756,0.037572111,0.029389444,33331
0.032202667,0.039577429,0.037491667,33332
0.0289424,0.04038075,0.033985333,33333
0.01178,0.036320571,0.0435146,33334
0.028218857,0.035026333,0.040154889,33335
0.02458975,0.029232,0.0404798,33336
0.035343286,0.040137889,0.036961375,33337
0.0318374,0.043631333,0.031192667,33338
0.034537429,0.048479222,0.044618714,33339
0.0356055,0.039769444,0.034656,40000
0.031543,0.042179286,0.035274556,44000
0.0341805,0.047651,0.035444111,44400
0.028621333,0.042689333,0.0347813,44440
0.034425667,0.031247571,0.0337567,44444
0.038542333,0.039487571,0.0345784,50000
0.032997667,0.038244875,0.036461111,55000
0.02366775,0.039105857,0.036010556,55500
0.035757857,0.026741,0.035966429,55550
0.039554286,0.040757571,0.035951556,55555
0.04276275,0.035404833,0.0348195,60000
0.034200833,0.036431,0.033902333,66000
0.043042429,0.031225,0.0334822,66600
0.03310275,0.0371635,0.034581875,66660
0.040590143,0.035268286,0.0335855,66666
0.03382125,0.04200825,0.035907875,70000
0.033993667,0.029860857,0.037484444,77000
0.029314,0.042308778,0.035499125,77700
0.0412265,0.039346875,0.032360143,77770
0.040042143,0.0344675,0.032844,77777
0.033879,0.037846429,0.033881625,80000
0.037331714,0.03788975,0.039246571,88000
0.041209,0.041267429,0.040630667,88800
0.032746167,0.043477429,0.0370752,88880
0.023255833,0.030742111,0.036998889,88888
0.02742175,0.030901571,0.0387814,90000
0.025584833,0.045925714,0.0307686,99000
0.03832875,0.03372675,0.039475778,99900
0.027887667,0.037366167,0.032883,99999
,0.037749174,,
LSGO,delay,,
300,400,500,seed
0.0240176,0.038382,0.032121875,10000
0.030641667,0.034564143,0.032049667,11000
0.03783225,0.031945,0.0337055,11100
0.02262825,0.0322914,0.037794778,11110
0.028371714,0.035557857,0.036885333,11111
0.030689571,0.042842,0.029985444,11112
0.047337,0.030712556,0.038091222,11113
0.0245726,0.045971667,0.033421875,11114
0.034023667,0.0296024,0.0440192,11115
0.035186,0.0386472,0.0398145,11116
0.0285426,0.038095857,0.0301425,11117
0.041958286,0.029494857,0.0379077,11118
0.035823,0.032523625,0.044406111,11119
0.0306056,0.034821778,0.031153778,20000
0.03178075,0.026411,0.030374,22000
0.0357235,0.038108875,0.027722125,22200
0.0344854,0.022725571,0.036620556,22220
0.0369104,0.029939714,0.0328212,22221
0.037304429,0.042366125,0.031996,22222
0.0295506,0.032388889,0.027297222,22223
0.0369168,0.030524222,0.027178778,22224
0.034442,0.023516833,0.03867525,22225
0.038443333,0.043032667,0.0339646,22226
0.0217325,0.033829333,0.033011,22227
0.036642,0.026157429,0.039200125,22228
0.03337425,0.033432833,0.030715556,22229
0.033251,0.029250667,0.043885,30000
0.035061,0.0337094,0.03281025,33000
0.040566667,0.0418824,0.029416667,33300
0.0276082,0.030307286,0.037923667,33330
0.0313606,0.04334525,0.0334265,33331
0.030157667,0.029551875,0.031002625,33332
0.027989,0.041210333,0.02882375,33333
0.03614575,0.033989,0.040356,33334
0.03759875,0.036780143,0.037805,33335
0.03239825,0.031592143,0.035079,33336
0.03394825,0.033669444,0.03557,33337
0.0436138,0.031345571,0.028734875,33338
0.0335115,0.046423444,0.039615875,33339
0.03394725,0.037280375,0.038991375,40000
0.0328166,0.042069625,0.039294333,44000
0.0310996,0.042914,0.036517625,44400
0.038543,0.030480571,0.030703222,44440
0.0334824,0.01541875,0.032901778,44444
0.033313,0.037432571,0.041913444,50000
0.0420516,0.040484625,0.038090111,55000
0.0288998,0.035554625,0.028212375,55500
0.037849375,0.033211,0.037101222,55550
0.03107675,0.03236475,0.037140625,55555
0.022591333,0.035879111,0.032660778,60000
0.032787571,0.031699889,0.039716222,66000
0.0378335,0.031102714,0.034541625,66600
0.032491667,0.042069444,0.0379765,66660
0.034370714,0.032355,0.0381349,66666
0.028775,0.038560875,0.026681,70000
0.033645143,0.02880525,0.03936675,77000
0.023958,0.030351,0.030257444,77700
0.031014,0.038306667,0.022726167,77770
0.02387,0.035517,0.031413556,77777
0.033205667,0.037279857,0.036552875,80000
0.038256,0.033299286,0.032899,88000
0.029769667,0.0342485,0.037824778,88800
0.0325125,0.035206333,0.032778875,88880
0.026740167,0.034304556,0.03430375,88888
0.030108,0.034311,0.036465222,90000
0.0292645,0.023184714,0.030221286,99000
0.0406788,0.031840111,0.039973143,99900
0.0419078,0.039375571,0.0333535,99999
,0.034350744,,
SIGO,Overhead,,
300,400,500,seed
