SIGO,PDR,,,,,,,,,,
0.030641667,0.034564143,0.032049667,11000,,,,,,,,
0.03783225,0.031945,0.0337055,11100,,,,,,,,
0.02262825,0.0322914,0.037794778,11110,,,,,,,,
0.0306056,0.034821778,0.031153778,20000,,,,,,,,
0.03178075,0.026411,0.030374,22000,,,,,,,,
0.0357235,0.038108875,0.027722125,22200,,,,,,,,
0.0344854,0.022725571,0.036620556,22220,,,,,,,,
0.033251,0.029250667,0.043885,30000,,,,,,,,
0.035061,0.0337094,0.03281025,33000,,,,,,,,
0.040566667,0.0418824,0.029416667,33300,,,,,,,,
0.0276082,0.030307286,0.037923667,33330,,,,,,,,
0.03394725,0.037280375,0.038991375,40000,,,,,,,,
0.0328166,0.042069625,0.039294333,44000,,,,,,,,
0.0310996,0.042914,0.036517625,44400,,,,,,,,
0.038543,0.030480571,0.030703222,44440,,,,,,,,
0.033313,0.037432571,0.041913444,50000,,,,,,,,
0.0420516,0.040484625,0.038090111,55000,,,,,,,,
0.0288998,0.035554625,0.028212375,55500,,,,,,,,
0.037849375,0.033211,0.037101222,55550,,,,,,,,
0.022591333,0.035879111,0.032660778,60000,,,,,,,,
0.032787571,0.031699889,0.039716222,66000,,,,,,,,
0.0378335,0.031102714,0.034541625,66600,,,,,,,,
0.032491667,0.042069444,0.0379765,66660,,,,,,,,
0.028775,0.038560875,0.026681,70000,,,,,,,,
0.033645143,0.02880525,0.03936675,77000,,,,,,,,
0.023958,0.030351,0.030257444,77700,,,,,,,,
0.031014,0.038306667,0.022726167,77770,,,,,,,,
0.033205667,0.037279857,0.036552875,80000,,,,,,,,
0.038256,0.033299286,0.032899,88000,,,,,,,,
0.029769667,0.0342485,0.037824778,88800,,,,,,,,
0.0325125,0.035206333,0.032778875,88880,,,,,,,,
0.030108,0.034311,0.036465222,90000,,,,,,,,
0.0292645,0.023184714,0.030221286,99000,,,,,,,,
0.0406788,0.031840111,0.039973143,99900,,,,,,,,
,,,,,,,,,,,
SIGO,Overhead,,,,,,,,,,
300,400,500,seed,,,,,,,,
30.5,25.71428571,22.66666667,10000,,,,,,,,
39.75,21.125,21.9,11000,,,,,,,,
31.71428571,22.44444444,25.875,11100,,,,,,,,
33.83333333,26.33333333,22.44444444,11110,,,,,,,,
45.5,25.28571429,38.14285714,20000,,,,,,,,
31.33333333,19.66666667,23.3,22000,,,,,,,,
33.4,30.28571429,23.5,22200,,,,,,,,
28.875,27.42857143,24.4,22220,,,,,,,,
51.8,25.66666667,21.125,30000,,,,,,,,
24.66666667,32.14285714,24.33333333,33000,,,,,,,,
40,40.16666667,20.44444444,33300,,,,,,,,
25.66666667,28.11111111,22.44444444,33330,,,,,,,,
51.5,27.33333333,22.75,40000,,,,,,,,
41,24.57142857,24.77777778,44000,,,,,,,,
29.5,27.625,21.55555556,44400,,,,,,,,
34.16666667,26.66666667,22.1,44440,,,,,,,,
31,24.71428571,17.9,50000,,,,,,,,
27.16666667,21.25,20.22222222,55000,,,,,,,,
28.75,26.85714286,21.88888889,55500,,,,,,,,
26.28571429,27.33333333,26.71428571,55550,,,,,,,,
35,37.16666667,20.6,60000,,,,,,,,
26.33333333,25,28.88888889,66000,,,,,,,,
29.28571429,25.83333333,19.6,66600,,,,,,,,
43.25,27.75,25.5,66660,,,,,,,,
37.25,34,27.5,70000,,,,,,,,
28.83333333,29,25.77777778,77000,,,,,,,,
33.4,27,26.375,77700,,,,,,,,
36.83333333,27.375,23.42857143,77770,,,,,,,,
31.16666667,36,20.875,80000,,,,,,,,
23.71428571,21.875,20.71428571,88000,,,,,,,,
32.83333333,33,22.77777778,88800,,,,,,,,
40,32.28571429,21.3,88880,,,,,,,,
32.75,29,26.6,90000,,,,,,,,
25.5,25.42857143,19.5,99000,,,,,,,,
42.5,26.375,22.44444444,99900,,,,,,,,
,,,,,,,,,,,
LSGO,Overhead,,,,,,,,,,
300,400,500,seed,,,,,,,,
33.6,27.75,45.25,10000,,,,,,,,
42.16666667,33,34.66666667,11000,,,,,,,,
39.75,32.125,36.625,11100,,,,,,,,
44,32,35.11111111,11110,,,,,,,,
29.6,28.22222222,34.11111111,20000,,,,,,,,
38.75,29,27.66666667,22000,,,,,,,,
44.25,34.5,30.625,22200,,,,,,,,
39.8,27.57142857,28.22222222,22220,,,,,,,,
58.75,27.77777778,38.125,30000,,,,,,,,
34.8,41,32.5,33000,,,,,,,,
69.66666667,37.6,27.44444444,33300,,,,,,,,
36.8,31.28571429,27.22222222,33330,,,,,,,,
50.25,29.25,26.125,40000,,,,,,,,
42.8,39.625,33.16666667,44000,,,,,,,,
37.2,34.875,28.5,44400,,,,,,,,
39.2,29.71428571,35.33333333,44440,,,,,,,,
30.66666667,26,31.66666667,50000,,,,,,,,
36,24.625,30.77777778,55000,,,,,,,,
35.4,25.625,32.625,55500,,,,,,,,
33.75,38,30.55555556,55550,,,,,,,,
42.66666667,27.88888889,25.22222222,60000,,,,,,,,
32.71428571,24.11111111,28.44444444,66000,,,,,,,,
30,32,27.5,66600,,,,,,,,
44.33333333,23.77777778,24.5,66660,,,,,,,,
58,37.125,30.77777778,70000,,,,,,,,
24.42857143,24.75,35.5,77000,,,,,,,,
42.5,28,41.77777778,77700,,,,,,,,
30.14285714,34.83333333,42.5,77770,,,,,,,,
47.66666667,39.42857143,27.5,80000,,,,,,,,
23,43.14285714,25.44444444,88000,,,,,,,,
34.83333333,39.5,30.77777778,88800,,,,,,,,
38.83333333,46.83333333,32.75,88880,,,,,,,,
34,27,30.33333333,90000,,,,,,,,
31.5,30.28571429,29.57142857,99000,,,,,,,,
41.6,26.55555556,34.42857143,99900,,,,,,,,
,,,,,,,,,,,
SIGO,PDR-average,,,,,,,,,,
300,400,500,seed,,,,,,,,
0.548571429,0.751428571,0.882857143,,,,,,,,,
,,,,,,,,,,,
LSGO,PDR-average,,,,,,,,,,
300,400,500,seed,,,,,計算,destination_list を10にしたバージョン,,
0.497142857,0.734285714,0.84,,,,,,,,,
,,,,,,,,PDR,,,
SIGO,delay-average,,,,,,,,300,400,500
300,400,500,seed,,,,,SIGO,0.548571429,0.751428571,0.882857143
0.035103555,0.037830977,0.035366491,,,,,,LSGO,0.497142857,0.734285714,0.84
,,,,,,,,,,,
LSGO,delay-average,,,,,,,,,,
300,400,500,seed,,,,,Delay,,,
0.032560384,0.034284905,0.03448695,,,,,,,300,400,500
,,,,,,,,SIGO,0.035103555,0.037830977,0.035366491
SIGO,overhead-average,,,,,,,LSGO,0.032560384,0.034284905,0.03448695
300,400,500,seed,,,,,,,,
33.85880952,27.65175737,23.43904762,,,,,,,,,
,,,,,,,,Overhead,,,
LSGO,delay-average,,,,,,,,300,400,500
300,400,500,seed,,,,,SIGO,33.85880952,27.65175737,23.43904762
39.24054422,31.85081633,31.80992063,,,,,,LSGO,39.24054422,31.85081633,31.80992063
